   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 2- 4	 2- 1	    20139.95	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 2	    31445.65	Ej Spelad	1.00	 1
 0- 0	 2- 4	 3- 0	    48568.53	Ej Spelad	1.00	 1
 0- 0	 2- 4	 3- 1	    36068.32	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 3	    15408.42	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 3	    23565.83	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 2	    46315.36	Ej Spelad	1.00	 1
 0- 0	 3- 4	 0- 1	    46243.94	Ej Spelad	1.00	 1
 0- 0	 3- 4	 2- 1	    45874.32	Ej Spelad	1.00	 1
 0- 0	 5- 2	 1- 1	    43935.45	Ej Spelad	1.00	 1
 0- 1	 0- 0	 0- 2	     2763.76	 1.262	1.06	 1
 0- 1	 0- 0	 0- 3	     7893.46	Ej Spelad	1.00	 1
 0- 1	 0- 0	 0- 4	    26048.43	Ej Spelad	1.00	 1
 0- 1	 0- 0	 1- 2	     2059.16	 1.337	1.70	 2
 0- 1	 0- 0	 1- 3	     4452.72	 5.874	1.63	 2
 0- 1	 0- 0	 1- 4	    19295.13	Ej Spelad	1.00	 1
 0- 1	 0- 0	 2- 2	     2471.41	 1.245	1.13	 1
 0- 1	 0- 0	 2- 3	     6810.05	Ej Spelad	1.00	 1
 0- 1	 0- 0	 2- 4	    21264.03	Ej Spelad	1.00	 1
 0- 1	 0- 0	 3- 2	     5624.21	 1.860	1.04	 1
 0- 1	 0- 0	 3- 3	    13012.75	Ej Spelad	1.00	 1
 0- 1	 0- 0	 3- 4	    40074.51	Ej Spelad	1.00	 1
 0- 1	 0- 1	 0- 3	     7240.79	 1.445	0.58	 1
 0- 1	 0- 1	 1- 3	     4084.55	 3.202	1.81	 2
 0- 1	 0- 1	 2- 3	     6246.96	 1.675	0.84	 1
 0- 1	 0- 1	 3- 2	     5159.18	 1.267	0.58	 1
 0- 1	 0- 1	 3- 3	    11936.79	 2.191	0.55	 1
 0- 1	 0- 2	 0- 0	     2403.68	 1.360	1.53	 2
 0- 1	 0- 2	 0- 1	     2598.50	 1.258	1.12	 1
 0- 1	 0- 2	 0- 4	    42420.52	Ej Spelad	1.00	 1
 0- 1	 0- 2	 1- 3	     7251.37	 7.214	0.97	 1
 0- 1	 0- 2	 1- 4	    31422.60	Ej Spelad	1.00	 1
 0- 1	 0- 2	 2- 3	    11090.33	 2.358	0.61	 1
 0- 1	 0- 2	 2- 4	    34628.99	Ej Spelad	1.00	 1
 0- 1	 0- 2	 3- 1	     4616.42	 1.259	0.63	 1
 0- 1	 0- 2	 3- 2	     9159.17	 1.904	0.65	 1
 0- 1	 0- 2	 4- 1	    12126.23	 4.314	0.62	 1
 0- 1	 0- 2	 4- 2	    21796.51	Ej Spelad	1.00	 1
 0- 1	 0- 2	 5- 0	    37433.13	Ej Spelad	1.00	 1
 0- 1	 0- 3	 0- 0	     4837.97	 2.703	1.48	 1
 0- 1	 0- 3	 0- 1	     5230.10	 1.429	0.78	 1
 0- 1	 0- 3	 1- 0	     4101.52	 2.551	1.71	 2
