   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 2	 1- 0	 1- 2	    31127.23	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 0	 2- 0	    27575.17	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 0	 2- 1	    23894.32	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 0	 2- 2	    38029.26	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 0	 3- 1	    47218.89	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 0- 0	    18309.88	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 0- 1	    21682.91	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 0- 2	    39585.21	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 1- 0	    15557.29	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 1- 1	    11963.49	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 1- 2	    23873.56	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 2- 0	    21149.25	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 2- 1	    18326.16	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 2- 2	    29167.19	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 3- 0	    40366.26	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 1	 3- 1	    36215.33	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 0- 0	    36339.27	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 0- 1	    43033.66	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 1- 0	    30876.25	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 1- 1	    23743.71	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 1- 2	    47381.38	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 2- 0	    41974.50	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 2	 2- 1	    36371.57	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 0- 0	    32952.86	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 0- 1	    39023.40	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 1- 0	    27998.93	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 1- 1	    21531.06	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 1- 2	    42965.97	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 2- 0	    38062.95	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 0	 2- 1	    32982.14	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 0- 0	    28193.00	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 0- 1	    33386.69	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 1- 0	    23954.64	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 1- 1	    18421.02	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 1- 2	    36759.77	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 2- 0	    32564.96	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 2- 1	    28218.06	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 1	 2- 2	    44910.74	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 2	 0- 0	    44639.79	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 2	 1- 0	    37928.93	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 2	 1- 1	    29167.19	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 2	 2- 1	    44679.48	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 0	 1- 1	    45780.05	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 1	 1- 0	    47087.13	Ej Spelad	1.00	 1
 0- 0	 0- 2	 3- 1	 1- 1	    36209.80	Ej Spelad	1.00	 1
 0- 0	 0- 3	 0- 0	 1- 0	    45794.09	Ej Spelad	1.00	 1
 0- 0	 0- 3	 0- 0	 1- 1	    35215.47	Ej Spelad	1.00	 1
 0- 0	 0- 3	 0- 1	 1- 1	    41045.11	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 0	 0- 0	    45915.23	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 0	 1- 0	    39012.63	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 0	 1- 1	    30000.55	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 0	 2- 1	    45956.05	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 0- 0	    35215.47	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 0- 1	    41702.83	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 1- 0	    29921.40	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 1- 1	    23009.43	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 1- 2	    45916.11	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 2- 0	    40676.43	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 1	 2- 1	    35246.77	Ej Spelad	1.00	 1
 0- 0	 0- 3	 1- 2	 1- 1	    45666.37	Ej Spelad	1.00	 1
 0- 0	 0- 3	 2- 0	 1- 1	    41410.77	Ej Spelad	1.00	 1
 0- 0	 0- 3	 2- 1	 1- 0	    46072.05	Ej Spelad	1.00	 1
 0- 0	 0- 3	 2- 1	 1- 1	    35429.21	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 1	 3- 0	    37315.91	 0.290	1.00	 1
 0- 0	 1- 0	 2- 1	 3- 1	    33478.65	 0.324	1.00	 1
 0- 0	 1- 0	 2- 2	 0- 0	    26800.45	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 0- 1	    31737.60	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 1- 0	    22771.43	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 1- 1	    17511.14	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 1- 2	    34944.08	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 2- 0	    30956.46	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 2- 1	    26824.27	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 2	 2- 2	    42692.44	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	 0- 0	    42065.27	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	 0- 1	    49814.50	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	 1- 0	    35741.44	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	 1- 1	    27485.02	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	 2- 0	    48588.45	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	 2- 1	    42102.66	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 0- 0	    33271.59	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 0- 1	    39400.86	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 1- 0	    28269.75	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 1- 1	    21739.32	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 1- 2	    43381.57	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 2- 0	    38431.12	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	 2- 1	    33301.17	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 2	 1- 0	    48066.07	Ej Spelad	1.00	 1
