   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 3	     8530.96	 2.169	0.77	 1
 0- 0	 0- 0	 1- 0	     1336.57	 1.384	2.86	 3
 0- 0	 0- 0	 1- 1	     1025.11	 1.719	5.30	 5
 0- 0	 0- 0	 1- 2	     2034.51	 1.399	1.93	 2
 0- 0	 0- 0	 1- 3	     4611.86	 2.006	1.35	 1
 0- 0	 0- 0	 2- 0	     1844.91	 2.006	3.37	 3
 0- 0	 0- 0	 2- 1	     1578.43	 2.132	4.10	 4
 0- 0	 0- 0	 2- 2	     2499.22	 1.234	1.08	 1
 0- 0	 0- 0	 2- 3	     7389.27	 5.008	1.00	 1
 0- 0	 0- 0	 3- 0	     3922.72	 1.887	1.51	 2
 0- 0	 0- 0	 3- 1	     3102.68	 1.704	1.73	 2
 0- 0	 0- 0	 3- 2	     5275.38	 7.015	1.34	 1
 0- 0	 0- 0	 4- 2	    12748.83	 2.903	0.57	 1
 0- 0	 0- 1	 0- 0	     1440.92	 1.605	3.46	 3
 0- 0	 0- 1	 0- 1	     1679.45	 1.224	1.55	 2
 0- 0	 0- 1	 0- 2	     2799.95	 1.202	0.86	 1
 0- 0	 0- 1	 0- 3	     7835.04	 2.362	0.87	 1
 0- 0	 0- 1	 1- 0	     1227.54	 1.507	3.69	 4
 0- 0	 0- 1	 1- 1	      941.48	 1.512	4.84	 5
 0- 0	 0- 1	 1- 3	     4235.65	 1.747	1.30	 1
 0- 0	 0- 1	 2- 0	     1694.41	 3.120	4.35	 4
 0- 0	 0- 1	 2- 1	     1449.67	 1.702	3.70	 4
 0- 0	 0- 1	 2- 2	     2295.35	 2.015	2.72	 3
 0- 0	 0- 1	 2- 3	     6786.49	 2.727	1.06	 1
 0- 0	 0- 1	 3- 0	     3602.72	 2.568	1.95	 2
 0- 0	 0- 1	 3- 1	     2849.58	 1.855	2.05	 2
 0- 0	 0- 1	 3- 2	     4845.04	 7.638	1.43	 1
 0- 0	 0- 1	 3- 3	    13225.58	 2.798	0.55	 1
 0- 0	 0- 1	 4- 2	    11708.84	 3.161	0.63	 1
 0- 0	 0- 2	 0- 0	     2464.15	 1.252	1.15	 1
 0- 0	 0- 2	 0- 1	     2872.07	 1.432	1.43	 1
 0- 0	 0- 2	 0- 3	    13398.88	 2.762	0.54	 1
 0- 0	 0- 2	 1- 0	     2099.24	 1.603	2.37	 2
 0- 0	 0- 2	 1- 1	     1610.05	 1.642	3.19	 3
 0- 0	 0- 2	 2- 0	     2897.66	 1.277	1.05	 1
 0- 0	 0- 2	 2- 1	     2479.11	 1.357	1.47	 1
 0- 0	 0- 2	 3- 1	     4873.13	 1.266	0.61	 1
 0- 0	 0- 2	 3- 2	     8285.61	 2.233	0.80	 1
 0- 0	 0- 3	 0- 0	     4739.31	 3.904	1.58	 2
 0- 0	 0- 3	 0- 1	     5523.86	 3.350	1.35	 1
 0- 0	 0- 3	 1- 0	     4037.48	 2.292	1.67	 2
 0- 0	 0- 3	 1- 1	     3096.62	 3.984	2.42	 2
 0- 0	 0- 3	 1- 2	     6145.79	 2.007	1.01	 1
 0- 0	 0- 3	 2- 0	     5573.07	 6.641	1.28	 1
 0- 0	 0- 3	 2- 1	     4768.07	 2.587	1.48	 1
 0- 0	 0- 3	 2- 2	     7549.60	 4.902	0.98	 1
 0- 0	 0- 3	 3- 0	    11849.65	 3.123	0.62	 1
 0- 0	 0- 3	 3- 1	     9372.50	 3.949	0.80	 1
 0- 0	 0- 4	 1- 0	    12330.69	 3.001	0.59	 1
 0- 0	 0- 4	 1- 1	     9457.23	 1.957	0.65	 1
 0- 0	 1- 0	 0- 2	     2874.73	 1.430	1.43	 1
 0- 0	 1- 0	 1- 1	      966.63	 1.595	5.12	 5
 0- 0	 1- 0	 1- 2	     1918.45	 1.484	2.30	 2
 0- 0	 1- 0	 2- 0	     1739.67	 1.934	3.48	 3
 0- 0	 1- 0	 2- 1	     1488.38	 1.776	3.78	 4
 0- 0	 1- 0	 2- 2	     2356.65	 1.963	2.60	 3
 0- 0	 1- 0	 2- 3	     6967.74	 5.311	1.06	 1
 0- 0	 1- 0	 3- 0	     3698.94	 2.501	1.89	 2
 0- 0	 1- 0	 3- 1	     2925.68	 1.581	1.67	 2
 0- 0	 1- 0	 3- 2	     4974.44	 7.440	1.40	 1
 0- 0	 1- 0	 3- 3	    13578.82	 2.725	0.53	 1
 0- 0	 1- 0	 4- 0	     9423.94	 3.927	0.80	 1
 0- 0	 1- 0	 4- 1	     8014.37	 1.539	0.59	 1
 0- 0	 1- 0	 4- 2	    12021.56	 3.079	0.61	 1
 0- 0	 1- 1	 0- 0	     1010.33	 1.928	5.98	 6
 0- 0	 1- 1	 0- 1	     1177.58	 1.497	3.80	 4
 0- 0	 1- 1	 0- 3	     5493.70	 1.684	0.97	 1
 0- 0	 1- 1	 1- 0	      860.71	 1.869	6.85	 7
 0- 0	 1- 1	 1- 1	      660.14	 1.752	8.39	 8
 0- 0	 1- 1	 1- 2	     1310.16	 1.569	3.69	 4
 0- 0	 1- 1	 1- 3	     2969.91	 1.385	1.29	 1
 0- 0	 1- 1	 2- 0	     1188.07	 2.396	5.77	 6
 0- 0	 1- 1	 2- 1	     1016.46	 1.734	5.39	 5
 0- 0	 1- 1	 2- 2	     1609.43	 1.769	3.48	 3
 0- 0	 1- 1	 2- 3	     4758.48	 3.889	1.58	 2
 0- 0	 1- 1	 3- 0	     2526.12	 2.093	2.53	 3
 0- 0	 1- 1	 3- 1	     1998.04	 1.544	2.36	 2
 0- 0	 1- 1	 3- 2	     3397.19	 3.631	2.20	 2
 0- 0	 1- 1	 3- 3	     9273.38	 3.991	0.81	 1
 0- 0	 1- 1	 4- 0	     6435.89	 1.917	0.94	 1
 0- 0	 1- 1	 4- 2	     8209.88	 2.254	0.81	 1
 0- 0	 1- 2	 0- 0	     1718.32	 2.393	3.99	 4
 0- 0	 1- 2	 0- 1	     2002.77	 1.848	2.91	 3
 0- 0	 1- 2	 1- 0	     1463.86	 2.107	4.39	 4
 0- 0	 1- 2	 1- 1	     1122.73	 2.198	5.87	 6
 0- 0	 1- 2	 1- 2	     2228.26	 1.845	2.62	 3
 0- 0	 1- 2	 1- 3	     5051.07	 1.221	0.51	 1
 0- 0	 1- 2	 2- 0	     2020.61	 2.289	3.33	 3
 0- 0	 1- 2	 2- 1	     1728.75	 1.946	3.52	 4
 0- 0	 1- 2	 2- 2	     2737.23	 1.931	2.21	 2
 0- 0	 1- 2	 2- 3	     8092.98	 2.286	0.83	 1
 0- 0	 1- 2	 3- 0	     4296.29	 2.871	1.69	 2
 0- 0	 1- 2	 3- 1	     3398.16	 2.723	2.11	 2
 0- 0	 1- 2	 3- 2	     5777.77	 3.203	1.28	 1
 0- 0	 1- 2	 4- 2	    13962.94	 2.650	0.51	 1
 0- 0	 1- 3	 0- 0	     3789.21	 3.256	1.96	 2
 0- 0	 1- 3	 0- 1	     4416.48	 8.380	1.54	 2
 0- 0	 1- 3	 0- 2	     7363.07	 1.675	0.72	 1
 0- 0	 1- 3	 1- 0	     3228.08	 2.866	2.25	 2
 0- 0	 1- 3	 1- 1	     2475.83	 3.737	3.03	 3
 0- 0	 1- 3	 1- 2	     4913.73	 1.883	1.21	 1
 0- 0	 1- 3	 2- 0	     4455.83	 4.153	1.68	 2
 0- 0	 1- 3	 2- 1	     3812.21	 9.708	1.72	 2
 0- 0	 1- 3	 2- 2	     6036.12	 6.131	1.20	 1
 0- 0	 1- 3	 3- 0	     9474.13	 3.906	0.79	 1
 0- 0	 1- 3	 3- 1	     7493.58	 4.939	0.99	 1
 0- 0	 1- 3	 3- 2	    12741.07	 2.905	0.57	 1
 0- 0	 1- 4	 0- 0	    12358.66	 2.995	0.59	 1
 0- 0	 1- 4	 1- 0	    10528.51	 3.515	0.71	 1
 0- 0	 1- 4	 1- 1	     8075.02	 4.583	0.92	 1
 0- 0	 1- 4	 2- 1	    12433.67	 2.976	0.59	 1
 0- 0	 2- 0	 0- 1	     2910.96	 2.119	2.22	 2
 0- 0	 2- 0	 1- 0	     2127.67	 1.338	1.65	 2
 0- 0	 2- 0	 1- 1	     1631.85	 2.268	4.10	 4
 0- 0	 2- 0	 1- 2	     3238.70	 1.632	1.58	 2
 0- 0	 2- 0	 1- 3	     7341.56	 1.680	0.72	 1
 0- 0	 2- 0	 2- 0	     2936.89	 1.260	0.99	 1
 0- 0	 2- 0	 2- 1	     2512.67	 1.841	2.31	 2
 0- 0	 2- 0	 2- 2	     3978.48	 1.550	1.19	 1
 0- 0	 2- 0	 2- 3	    11762.87	 3.146	0.63	 1
 0- 0	 2- 0	 3- 0	     6244.51	 1.976	0.99	 1
 0- 0	 2- 0	 3- 1	     4939.11	 1.873	1.20	 1
 0- 0	 2- 0	 3- 2	     8397.79	 4.407	0.89	 1
