   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 0	 2- 3	 3- 1	     7452.80	Ej Spelad	0.10	0.10
 1- 0	 2- 3	 3- 2	    12671.74	Ej Spelad	0.10	0.10
 1- 0	 2- 4	 0- 0	    13369.53	Ej Spelad	0.10	0.10
 1- 0	 2- 4	 0- 1	    15582.75	Ej Spelad	0.10	0.10
 1- 0	 2- 4	 1- 0	    11389.68	Ej Spelad	0.10	0.10
 1- 0	 2- 4	 1- 1	     8735.51	Ej Spelad	0.10	0.10
 1- 0	 2- 4	 2- 0	    15721.57	Ej Spelad	0.10	0.10
 1- 0	 2- 4	 2- 1	    13450.67	Ej Spelad	0.10	0.10
 1- 0	 3- 1	 4- 1	    15721.06	Ej Spelad	0.10	0.10
 1- 0	 3- 2	 1- 1	     2398.43	 1.474	0.06	0.10
 1- 0	 3- 2	 2- 0	     4316.54	 4.914	0.06	0.10
 1- 0	 3- 3	 2- 0	     9220.17	Ej Spelad	0.10	0.10
 1- 0	 3- 3	 3- 1	    15505.99	Ej Spelad	0.10	0.10
 1- 0	 4- 2	 2- 0	    14325.20	Ej Spelad	0.10	0.10
 1- 1	 0- 0	 0- 0	     1962.23	 1.802	0.10	0.10
 1- 1	 0- 0	 1- 0	     1671.65	 2.538	0.14	0.10
 1- 1	 0- 0	 1- 1	     1282.10	 2.757	0.19	0.20
 1- 1	 0- 0	 2- 0	     2307.44	 2.298	0.10	0.10
 1- 1	 0- 0	 2- 1	     1974.14	 2.149	0.11	0.10
 1- 1	 0- 0	 2- 2	     3125.79	 1.697	0.06	0.10
 1- 1	 0- 0	 3- 0	     4906.16	 4.324	0.05	0.10
 1- 1	 0- 0	 3- 1	     3880.53	 2.733	0.06	0.10
 1- 1	 0- 0	 4- 0	    12499.61	Ej Spelad	0.10	0.10
 1- 1	 0- 0	 4- 1	    10630.01	Ej Spelad	0.10	0.10
 1- 1	 0- 0	 4- 2	    15945.01	Ej Spelad	0.10	0.10
 1- 1	 0- 1	 0- 0	     1802.16	 2.354	0.13	0.10
 1- 1	 0- 1	 0- 1	     2100.50	 2.525	0.11	0.10
 1- 1	 0- 1	 1- 0	     1535.29	 2.763	0.16	0.20
 1- 1	 0- 1	 1- 1	     1177.52	 4.504	0.21	0.20
 1- 1	 0- 1	 1- 2	     2336.99	 2.269	0.10	0.10
 1- 1	 0- 1	 2- 0	     2119.21	 5.005	0.12	0.10
 1- 1	 0- 1	 2- 1	     1813.10	 3.900	0.14	0.10
 1- 1	 0- 1	 2- 2	     2870.80	 3.694	0.09	0.10
 1- 1	 0- 1	 3- 0	     4505.94	 4.708	0.06	0.10
 1- 1	 0- 1	 3- 1	     3563.98	 2.976	0.07	0.10
 1- 1	 0- 1	 3- 3	    16541.29	Ej Spelad	0.10	0.10
 1- 1	 0- 1	 4- 0	    11479.95	Ej Spelad	0.10	0.10
 1- 1	 0- 1	 4- 2	    14644.29	Ej Spelad	0.10	0.10
 1- 1	 0- 2	 0- 0	     3081.92	 2.294	0.07	0.10
 1- 1	 0- 2	 0- 1	     3592.11	 2.953	0.07	0.10
 1- 1	 0- 2	 1- 0	     2625.53	 2.693	0.09	0.10
 1- 1	 0- 2	 1- 1	     2013.70	 5.267	0.12	0.10
 1- 1	 0- 2	 1- 2	     3996.54	 2.654	0.06	0.10
 1- 1	 0- 2	 1- 3	     9059.45	Ej Spelad	0.10	0.10
 1- 1	 0- 2	 2- 0	     3624.11	 5.853	0.07	0.10
 1- 1	 0- 2	 2- 1	     3100.63	 3.421	0.08	0.10
 1- 1	 0- 2	 2- 2	     4909.43	 4.321	0.05	0.10
 1- 1	 0- 2	 2- 3	    14515.33	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 0- 0	     5927.47	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 0- 1	     6908.72	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 0- 2	    11518.06	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 1- 0	     5049.70	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 1- 1	     3872.95	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 1- 2	     7686.57	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 2- 0	     6970.27	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 2- 1	     5963.45	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 2- 2	     9442.32	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 3- 0	    14820.41	Ej Spelad	0.10	0.10
 1- 1	 0- 3	 3- 1	    11722.23	Ej Spelad	0.10	0.10
 1- 1	 0- 4	 1- 0	    15422.04	Ej Spelad	0.10	0.10
 1- 1	 0- 4	 1- 1	    11828.20	Ej Spelad	0.10	0.10
 1- 1	 1- 0	 0- 0	     1850.30	 1.433	0.07	0.10
 1- 1	 1- 0	 1- 0	     1576.29	 1.682	0.11	0.10
 1- 1	 1- 0	 1- 1	     1208.97	 1.595	0.14	0.10
 1- 1	 1- 0	 2- 0	     2175.81	 2.437	0.11	0.10
 1- 1	 1- 0	 2- 1	     1861.53	 2.279	0.12	0.10
 1- 1	 1- 0	 3- 1	     3659.17	 2.898	0.07	0.10
 1- 1	 1- 0	 4- 0	    11786.56	Ej Spelad	0.10	0.10
 1- 1	 1- 0	 4- 1	    10023.61	Ej Spelad	0.10	0.10
 1- 1	 1- 0	 4- 2	    15035.42	Ej Spelad	0.10	0.10
 1- 1	 1- 1	 0- 0	     1263.62	 2.798	0.19	0.20
 1- 1	 1- 1	 0- 1	     1472.81	 1.800	0.13	0.10
 1- 1	 1- 1	 1- 0	     1076.50	 2.815	0.22	0.20
 1- 1	 1- 1	 1- 1	      825.64	 2.336	0.27	0.30
 1- 1	 1- 1	 1- 2	     1638.63	 1.618	0.10	0.10
 1- 1	 1- 1	 2- 0	     1485.93	 4.758	0.17	0.20
 1- 1	 1- 1	 2- 1	     1271.29	 2.781	0.19	0.20
 1- 1	 1- 1	 2- 2	     2012.92	 2.108	0.11	0.10
 1- 1	 1- 1	 3- 0	     3159.43	 6.714	0.08	0.10
 1- 1	 1- 1	 3- 1	     2498.95	 8.488	0.09	0.10
 1- 1	 1- 1	 3- 2	     4248.88	 4.992	0.06	0.10
 1- 1	 1- 1	 3- 3	    11598.25	Ej Spelad	0.10	0.10
 1- 1	 1- 1	 4- 0	     8049.39	Ej Spelad	0.10	0.10
 1- 1	 1- 1	 4- 1	     6845.42	Ej Spelad	0.10	0.10
 1- 1	 1- 1	 4- 2	    10268.13	Ej Spelad	0.10	0.10
 1- 1	 1- 2	 0- 0	     2149.10	 2.468	0.11	0.10
 1- 1	 1- 2	 0- 1	     2504.87	 2.117	0.09	0.10
 1- 1	 1- 2	 1- 0	     1830.85	 3.862	0.14	0.10
 1- 1	 1- 2	 1- 1	     1404.20	 5.035	0.18	0.20
 1- 1	 1- 2	 1- 2	     2786.90	 2.537	0.08	0.10
 1- 1	 1- 2	 2- 0	     2527.19	 8.394	0.09	0.10
 1- 1	 1- 2	 2- 1	     2162.15	 4.905	0.11	0.10
 1- 1	 1- 2	 2- 2	     3423.47	 6.196	0.07	0.10
 1- 1	 1- 2	 3- 1	     4250.09	 4.991	0.06	0.10
 1- 1	 1- 2	 4- 0	    13689.99	Ej Spelad	0.10	0.10
 1- 1	 1- 2	 4- 1	    11642.34	Ej Spelad	0.10	0.10
 1- 1	 1- 3	 0- 0	     4739.18	 4.476	0.05	0.10
 1- 1	 1- 3	 1- 0	     4037.37	Ej Spelad	0.10	0.10
 1- 1	 1- 3	 1- 1	     3096.53	 6.850	0.08	0.10
 1- 1	 1- 3	 2- 1	     4767.95	Ej Spelad	0.10	0.10
 1- 1	 1- 3	 3- 0	    11849.34	Ej Spelad	0.10	0.10
 1- 1	 1- 3	 3- 1	     9372.25	Ej Spelad	0.10	0.10
 1- 1	 1- 3	 3- 2	    15935.31	Ej Spelad	0.10	0.10
 1- 1	 1- 4	 0- 0	    15457.02	Ej Spelad	0.10	0.10
 1- 1	 1- 4	 1- 0	    13168.05	Ej Spelad	0.10	0.10
 1- 1	 1- 4	 1- 1	    10099.46	Ej Spelad	0.10	0.10
 1- 1	 1- 4	 2- 1	    15550.84	Ej Spelad	0.10	0.10
 1- 1	 2- 0	 1- 1	     2040.96	 1.299	0.05	0.10
 1- 1	 2- 0	 2- 0	     3673.18	 1.925	0.05	0.10
 1- 1	 2- 0	 2- 1	     3142.61	 1.687	0.06	0.10
 1- 1	 2- 1	 1- 0	     1782.48	 1.983	0.12	0.10
 1- 1	 2- 1	 1- 1	     1367.10	 1.724	0.13	0.10
 1- 1	 2- 1	 2- 0	     2460.41	 4.311	0.10	0.10
 1- 1	 2- 1	 2- 1	     2105.02	 1.679	0.08	0.10
 1- 1	 2- 1	 3- 1	     4137.79	 2.563	0.06	0.10
 1- 1	 2- 1	 4- 0	    13328.26	Ej Spelad	0.10	0.10
 1- 1	 2- 2	 0- 0	     2770.93	 1.531	0.06	0.10
 1- 1	 2- 2	 0- 1	     3229.64	 1.642	0.05	0.10
 1- 1	 2- 2	 1- 0	     2360.59	 2.246	0.09	0.10
 1- 1	 2- 2	 1- 1	     1810.50	 2.929	0.13	0.10
 1- 1	 2- 2	 2- 0	     3258.41	 2.170	0.07	0.10
 1- 1	 2- 2	 2- 1	     2787.75	 2.536	0.08	0.10
 1- 1	 2- 2	 4- 1	    15010.96	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 0- 0	     6743.00	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 1- 0	     5744.45	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 1- 1	     4405.81	 4.815	0.06	0.10
 1- 1	 2- 3	 2- 0	     7929.26	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 2- 1	     6783.93	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 2- 2	    10741.43	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 3- 1	    13335.02	Ej Spelad	0.10	0.10
 1- 1	 2- 4	 1- 1	    15630.12	Ej Spelad	0.10	0.10
 1- 1	 3- 3	 1- 0	    11951.67	Ej Spelad	0.10	0.10
 1- 1	 3- 3	 2- 1	    14114.36	Ej Spelad	0.10	0.10
 1- 2	 0- 0	 1- 1	     4319.83	 4.910	0.06	0.10
 1- 2	 0- 0	 3- 0	    16530.45	Ej Spelad	0.10	0.10
 1- 2	 0- 0	 3- 1	    13074.78	Ej Spelad	0.10	0.10
 1- 2	 0- 1	 1- 1	     3967.43	 5.347	0.06	0.10
 1- 2	 0- 1	 3- 0	    15181.97	Ej Spelad	0.10	0.10
 1- 2	 0- 1	 3- 1	    12008.20	Ej Spelad	0.10	0.10
 1- 2	 0- 3	 1- 1	    13049.23	Ej Spelad	0.10	0.10
 1- 2	 1- 0	 1- 1	     4073.40	 2.604	0.06	0.10
 1- 2	 1- 0	 3- 0	    15587.45	Ej Spelad	0.10	0.10
 1- 2	 1- 0	 3- 1	    12328.92	Ej Spelad	0.10	0.10
 1- 2	 1- 1	 0- 0	     4257.56	 4.982	0.06	0.10
 1- 2	 1- 1	 0- 1	     4962.36	 4.275	0.05	0.10
 1- 2	 1- 1	 1- 0	     3627.07	 5.848	0.07	0.10
 1- 2	 1- 1	 1- 1	     2781.85	 7.625	0.08	0.10
 1- 2	 1- 1	 2- 1	     4283.40	 4.952	0.06	0.10
 1- 2	 1- 1	 3- 0	    10645.14	Ej Spelad	0.10	0.10
 1- 2	 1- 1	 3- 1	     8419.79	Ej Spelad	0.10	0.10
 1- 2	 1- 1	 3- 2	    14315.88	Ej Spelad	0.10	0.10
 1- 2	 1- 2	 1- 1	     4731.22	 4.483	0.05	0.10
 1- 2	 1- 2	 3- 1	    14319.94	Ej Spelad	0.10	0.10
 1- 2	 1- 3	 0- 0	    15967.85	Ej Spelad	0.10	0.10
 1- 2	 1- 3	 1- 0	    13603.23	Ej Spelad	0.10	0.10
 1- 2	 1- 3	 1- 1	    10433.23	Ej Spelad	0.10	0.10
 1- 2	 1- 3	 2- 1	    16064.77	Ej Spelad	0.10	0.10
 1- 2	 2- 1	 3- 1	    13941.57	Ej Spelad	0.10	0.10
 1- 2	 2- 3	 1- 1	    14844.60	Ej Spelad	0.10	0.10
 1- 3	 1- 1	 1- 1	    13909.23	Ej Spelad	0.10	0.10
 2- 0	 0- 0	 0- 0	      980.20	 1.546	0.16	0.20
 2- 0	 0- 0	 1- 0	      835.04	 1.954	0.24	0.20
 2- 0	 0- 0	 1- 1	      640.45	 2.208	0.34	0.30
 2- 0	 0- 0	 1- 3	     2881.33	 1.840	0.07	0.10
 2- 0	 0- 0	 2- 0	     1152.64	 2.045	0.18	0.20
 2- 0	 0- 0	 2- 1	      986.15	 2.689	0.24	0.20
 2- 0	 0- 0	 2- 2	     1561.43	 1.698	0.11	0.10
 2- 0	 0- 0	 3- 0	     2450.78	 4.328	0.10	0.10
 2- 0	 0- 0	 3- 1	     1938.44	 3.648	0.13	0.10
 2- 0	 0- 0	 3- 2	     3295.87	 2.145	0.07	0.10
 2- 0	 0- 0	 4- 0	     6243.93	Ej Spelad	0.10	0.10
 2- 0	 0- 0	 4- 1	     5310.01	Ej Spelad	0.10	0.10
 2- 0	 0- 0	 4- 2	     7965.02	Ej Spelad	0.10	0.10
 2- 0	 0- 0	 5- 0	    15930.04	Ej Spelad	0.10	0.10
 2- 0	 0- 1	 0- 0	      900.24	 2.142	0.24	0.20
 2- 0	 0- 1	 0- 1	     1049.26	 1.685	0.17	0.20
 2- 0	 0- 1	 0- 3	     4895.06	 4.333	0.05	0.10
 2- 0	 0- 1	 1- 0	      766.92	 2.305	0.29	0.30
 2- 0	 0- 1	 1- 1	      588.21	 3.278	0.42	0.40
 2- 0	 0- 1	 1- 2	     1167.40	 1.817	0.16	0.20
 2- 0	 0- 1	 1- 3	     2646.28	 4.008	0.09	0.10
 2- 0	 0- 1	 2- 0	     1058.61	 2.505	0.22	0.20
 2- 0	 0- 1	 2- 1	      905.70	 3.903	0.28	0.30
 2- 0	 0- 1	 2- 2	     1434.05	 2.958	0.17	0.20
 2- 0	 0- 1	 2- 3	     4239.96	 5.003	0.06	0.10
 2- 0	 0- 1	 3- 0	     2250.85	 3.141	0.11	0.10
 2- 0	 0- 1	 3- 1	     1780.32	 2.979	0.14	0.10
 2- 0	 0- 1	 3- 2	     3027.01	 3.504	0.08	0.10
 2- 0	 0- 1	 3- 3	     8262.88	Ej Spelad	0.10	0.10
 2- 0	 0- 1	 4- 1	     4876.85	 4.350	0.05	0.10
 2- 0	 0- 1	 5- 0	    14630.54	Ej Spelad	0.10	0.10
 2- 0	 0- 2	 0- 0	     1539.51	 2.296	0.15	0.10
 2- 0	 0- 2	 0- 1	     1794.37	 2.364	0.13	0.10
 2- 0	 0- 2	 1- 0	     1311.53	 3.235	0.19	0.20
 2- 0	 0- 2	 1- 1	     1005.90	 5.272	0.24	0.20
 2- 0	 0- 2	 1- 2	     1996.40	 1.771	0.09	0.10
 2- 0	 0- 2	 1- 3	     4525.47	 4.687	0.05	0.10
 2- 0	 0- 2	 2- 0	     1810.35	 2.343	0.13	0.10
 2- 0	 0- 2	 2- 1	     1548.86	 1.712	0.12	0.10
 2- 0	 0- 2	 2- 2	     2452.41	 2.162	0.09	0.10
 2- 0	 0- 2	 3- 0	     3849.23	 2.755	0.06	0.10
 2- 0	 0- 2	 3- 1	     3044.56	 3.484	0.08	0.10
 2- 0	 0- 2	 3- 3	    14130.54	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 0- 0	     2960.95	 7.164	0.08	0.10
 2- 0	 0- 3	 0- 1	     3451.12	 6.146	0.07	0.10
 2- 0	 0- 3	 0- 3	    16100.27	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 1- 0	     2522.48	 8.409	0.09	0.10
 2- 0	 0- 3	 1- 1	     1934.66	10.964	0.11	0.10
 2- 0	 0- 3	 1- 2	     3839.68	 5.524	0.06	0.10
 2- 0	 0- 3	 1- 3	     8703.86	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 2- 0	     3481.86	 6.092	0.07	0.10
 2- 0	 0- 3	 2- 1	     2978.93	 7.121	0.08	0.10
 2- 0	 0- 3	 2- 2	     4716.73	 4.497	0.05	0.10
 2- 0	 0- 3	 2- 3	    13945.59	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 3- 0	     7403.25	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 3- 1	     5855.61	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 3- 2	     9956.09	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 4- 1	    16040.37	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 0- 0	     9042.91	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 0- 1	    10539.89	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 1- 0	     7703.78	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 1- 1	     5908.55	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 1- 2	    11726.58	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 2- 0	    10633.79	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 2- 1	     9097.80	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 2- 2	    14405.13	Ej Spelad	0.10	0.10
 2- 0	 1- 0	 1- 0	      787.41	 1.283	0.13	0.10
 2- 0	 1- 0	 1- 1	      603.92	 1.254	0.16	0.20
 2- 0	 1- 0	 2- 0	     1086.88	 1.774	0.17	0.20
 2- 0	 1- 0	 2- 1	      929.89	 2.074	0.23	0.20
 2- 0	 1- 0	 2- 2	     1472.35	 1.310	0.07	0.10
 2- 0	 1- 0	 3- 0	     2310.97	 3.060	0.11	0.10
 2- 0	 1- 0	 3- 1	     1827.86	 2.321	0.12	0.10
 2- 0	 1- 0	 3- 2	     3107.85	 1.706	0.06	0.10
 2- 0	 1- 0	 5- 0	    15021.30	Ej Spelad	0.10	0.10
 2- 0	 1- 1	 0- 0	      631.22	 1.344	0.19	0.20
 2- 0	 1- 1	 1- 0	      537.74	 2.076	0.39	0.40
 2- 0	 1- 1	 1- 1	      412.43	 1.607	0.40	0.40
 2- 0	 1- 1	 2- 0	      742.27	 3.175	0.33	0.30
 2- 0	 1- 1	 2- 1	      635.05	 2.227	0.35	0.30
 2- 0	 1- 1	 2- 2	     1005.52	 1.918	0.20	0.20
 2- 0	 1- 1	 3- 0	     1578.23	 3.360	0.16	0.20
 2- 0	 1- 1	 3- 1	     1248.30	 2.832	0.19	0.20
 2- 0	 1- 1	 3- 2	     2122.45	 4.997	0.12	0.10
 2- 0	 1- 1	 4- 0	     4020.92	 5.275	0.06	0.10
 2- 0	 1- 1	 4- 1	     3419.50	 6.203	0.07	0.10
 2- 0	 1- 1	 5- 0	    10258.49	Ej Spelad	0.10	0.10
 2- 0	 1- 1	 5- 1	    14817.82	Ej Spelad	0.10	0.10
 2- 0	 1- 2	 0- 0	     1073.54	 1.647	0.16	0.20
 2- 0	 1- 2	 1- 0	      914.57	 3.313	0.27	0.30
 2- 0	 1- 2	 1- 1	      701.44	 2.016	0.30	0.30
 2- 0	 1- 2	 2- 0	     1262.41	 5.601	0.19	0.20
 2- 0	 1- 2	 2- 1	     1080.06	 2.182	0.20	0.20
 2- 0	 1- 2	 2- 2	     1710.13	 1.772	0.11	0.10
 2- 0	 1- 2	 2- 4	    15112.44	Ej Spelad	0.10	0.10
 2- 0	 1- 2	 3- 0	     2684.17	 3.951	0.09	0.10
 2- 0	 1- 2	 3- 1	     2123.05	 2.498	0.11	0.10
 2- 0	 1- 2	 3- 2	     3609.75	 1.959	0.06	0.10
 2- 0	 1- 3	 0- 0	     2367.37	 8.960	0.09	0.10
 2- 0	 1- 3	 0- 1	     2759.26	 7.688	0.08	0.10
 2- 0	 1- 3	 0- 2	     4600.19	 4.611	0.05	0.10
 2- 0	 1- 3	 1- 0	     2016.79	10.518	0.11	0.10
 2- 0	 1- 3	 1- 1	     1546.81	 6.857	0.15	0.20
 2- 0	 1- 3	 1- 2	     3069.93	 6.910	0.08	0.10
 2- 0	 1- 3	 2- 0	     2783.85	Ej Spelad	0.10	0.10
 2- 0	 1- 3	 2- 1	     2381.73	 8.906	0.09	0.10
 2- 0	 1- 3	 2- 2	     3771.15	 5.625	0.06	0.10
 2- 0	 1- 3	 3- 0	     5919.10	Ej Spelad	0.10	0.10
 2- 0	 1- 3	 3- 1	     4681.73	Ej Spelad	0.10	0.10
 2- 0	 1- 3	 3- 2	     7960.18	Ej Spelad	0.10	0.10
 2- 0	 1- 3	 4- 0	    15080.33	Ej Spelad	0.10	0.10
 2- 0	 1- 3	 4- 1	    12824.73	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 0- 0	     7721.25	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 0- 1	     8999.45	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 0- 2	    15003.68	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 1- 0	     6577.84	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 1- 1	     5044.99	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 1- 2	    10012.69	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 2- 0	     9079.62	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 2- 1	     7768.12	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 2- 2	    12299.77	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 3- 1	    15269.63	Ej Spelad	0.10	0.10
 2- 0	 1- 5	 1- 1	    15615.44	Ej Spelad	0.10	0.10
 2- 0	 2- 0	 2- 0	     1834.87	 1.285	0.06	0.10
 2- 0	 2- 0	 2- 1	     1569.83	 1.228	0.06	0.10
 2- 0	 2- 1	 1- 0	      890.40	 1.323	0.13	0.10
 2- 0	 2- 1	 2- 0	     1229.05	 2.157	0.18	0.20
 2- 0	 2- 1	 2- 1	     1051.52	 1.345	0.11	0.10
 2- 0	 2- 1	 3- 0	     2613.25	 2.029	0.08	0.10
 2- 0	 2- 1	 3- 1	     2066.95	 2.052	0.10	0.10
 2- 0	 2- 1	 3- 2	     3514.37	 2.012	0.06	0.10
 2- 0	 2- 1	 4- 0	     6657.87	Ej Spelad	0.10	0.10
 2- 0	 2- 2	 1- 0	     1179.19	 2.249	0.19	0.20
 2- 0	 2- 2	 1- 1	      904.40	 1.564	0.18	0.20
 2- 0	 2- 2	 2- 0	     1627.67	 3.258	0.15	0.20
 2- 0	 2- 2	 2- 1	     1392.57	 2.539	0.17	0.20
 2- 0	 2- 2	 3- 0	     3460.81	 6.129	0.07	0.10
 2- 0	 2- 2	 3- 1	     2737.34	 3.875	0.09	0.10
 2- 0	 2- 2	 4- 0	     8817.25	Ej Spelad	0.10	0.10
 2- 0	 2- 2	 4- 1	     7498.43	Ej Spelad	0.10	0.10
 2- 0	 2- 3	 0- 0	     3368.33	 6.297	0.07	0.10
 2- 0	 2- 3	 0- 1	     3925.93	 5.403	0.06	0.10
 2- 0	 2- 3	 1- 0	     2869.53	 7.392	0.08	0.10
 2- 0	 2- 3	 1- 1	     2200.83	 9.638	0.10	0.10
 2- 0	 2- 3	 1- 2	     4367.95	 4.856	0.06	0.10
 2- 0	 2- 3	 2- 0	     3960.91	 5.355	0.06	0.10
 2- 0	 2- 3	 2- 1	     3388.78	 6.259	0.07	0.10
 2- 0	 2- 3	 2- 3	    15864.27	Ej Spelad	0.10	0.10
 2- 0	 2- 3	 3- 0	     8421.81	Ej Spelad	0.10	0.10
 2- 0	 2- 3	 3- 1	     6661.25	Ej Spelad	0.10	0.10
 2- 0	 2- 3	 3- 2	    11325.89	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 0- 0	    11949.56	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 0- 1	    13927.72	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 1- 0	    10180.00	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 1- 1	     7807.72	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 1- 2	    15495.83	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 2- 0	    14051.79	Ej Spelad	0.10	0.10
 2- 0	 2- 4	 2- 1	    12022.09	Ej Spelad	0.10	0.10
 2- 0	 3- 1	 2- 0	     3050.10	 1.739	0.06	0.10
 2- 0	 3- 1	 4- 0	    16522.68	Ej Spelad	0.10	0.10
 2- 0	 3- 1	 4- 1	    14051.34	Ej Spelad	0.10	0.10
 2- 0	 3- 2	 2- 0	     3858.08	 2.749	0.06	0.10
 2- 0	 3- 3	 1- 1	     4578.97	 4.632	0.05	0.10
 2- 0	 3- 3	 2- 0	     8240.90	Ej Spelad	0.10	0.10
 2- 0	 3- 3	 3- 1	    13859.12	Ej Spelad	0.10	0.10
 2- 1	 0- 0	 0- 0	     1408.17	 1.674	0.12	0.10
 2- 1	 0- 0	 0- 1	     1641.28	 1.436	0.08	0.10
 2- 1	 0- 0	 1- 0	     1199.64	 2.210	0.18	0.20
 2- 1	 0- 0	 1- 1	      920.08	 2.562	0.25	0.30
 2- 1	 0- 0	 2- 0	     1655.90	 2.135	0.13	0.10
 2- 1	 0- 0	 2- 1	     1416.72	 2.495	0.16	0.20
 2- 1	 0- 0	 2- 2	     2243.18	 1.891	0.09	0.10
 2- 1	 0- 0	 3- 0	     3520.83	 3.012	0.07	0.10
 2- 1	 0- 0	 3- 1	     2784.81	 3.809	0.09	0.10
 2- 1	 0- 0	 3- 3	    12924.98	Ej Spelad	0.10	0.10
 2- 1	 0- 0	 4- 0	     8970.16	Ej Spelad	0.10	0.10
 2- 1	 0- 0	 4- 1	     7628.47	Ej Spelad	0.10	0.10
 2- 1	 0- 0	 4- 2	    11442.70	Ej Spelad	0.10	0.10
 2- 1	 0- 1	 0- 0	     1293.30	 2.734	0.18	0.20
 2- 1	 0- 1	 0- 1	     1507.39	 2.345	0.15	0.20
 2- 1	 0- 1	 0- 2	     2513.09	 1.688	0.07	0.10
 2- 1	 0- 1	 1- 0	     1101.78	 3.851	0.23	0.20
 2- 1	 0- 1	 1- 1	      845.03	 3.586	0.29	0.30
 2- 1	 0- 1	 1- 2	     1677.11	 2.108	0.13	0.10
 2- 1	 0- 1	 1- 3	     3801.71	 5.580	0.06	0.10
 2- 1	 0- 1	 2- 0	     1520.82	 3.487	0.16	0.20
 2- 1	 0- 1	 2- 1	     1301.15	 4.076	0.19	0.20
 2- 1	 0- 1	 2- 2	     2060.19	 3.432	0.12	0.10
 2- 1	 0- 1	 3- 0	     3233.62	 3.280	0.08	0.10
 2- 1	 0- 1	 3- 1	     2557.64	 4.147	0.10	0.10
 2- 1	 0- 1	 3- 2	     4348.66	 4.878	0.06	0.10
 2- 1	 0- 1	 3- 3	    11870.62	Ej Spelad	0.10	0.10
 2- 1	 0- 1	 4- 0	     8238.42	Ej Spelad	0.10	0.10
 2- 1	 0- 1	 4- 2	    10509.26	Ej Spelad	0.10	0.10
 2- 1	 0- 2	 0- 0	     2211.70	 2.398	0.10	0.10
 2- 1	 0- 2	 0- 1	     2577.82	 2.743	0.09	0.10
 2- 1	 0- 2	 1- 0	     1884.17	 2.814	0.13	0.10
 2- 1	 0- 2	 1- 1	     1445.10	 4.893	0.17	0.20
 2- 1	 0- 2	 1- 2	     2868.06	 2.465	0.08	0.10
 2- 1	 0- 2	 2- 0	     2600.79	 4.078	0.10	0.10
 2- 1	 0- 2	 2- 1	     2225.12	 1.362	0.06	0.10
 2- 1	 0- 2	 2- 2	     3523.18	 3.010	0.07	0.10
 2- 1	 0- 2	 2- 3	    10416.71	Ej Spelad	0.10	0.10
 2- 1	 0- 2	 3- 1	     4373.87	 4.850	0.06	0.10
 2- 1	 0- 2	 4- 0	    14088.70	Ej Spelad	0.10	0.10
