   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 2- 1	 1- 1	     2006.26	 2.643	0.12	0.10
 0- 0	 2- 1	 2- 0	     3610.73	 5.875	0.07	0.10
 0- 0	 2- 1	 2- 1	     3089.18	 3.433	0.08	0.10
 0- 0	 2- 1	 4- 1	    16634.06	Ej Spelad	0.10	0.10
 0- 0	 2- 2	 0- 0	     4066.43	 2.608	0.06	0.10
 0- 0	 2- 2	 0- 1	     4739.60	 4.475	0.05	0.10
 0- 0	 2- 2	 1- 0	     3464.25	 6.123	0.07	0.10
 0- 0	 2- 2	 1- 1	     2656.96	 3.992	0.09	0.10
 0- 0	 2- 2	 2- 0	     4781.82	 4.436	0.05	0.10
 0- 0	 2- 2	 2- 1	     4091.11	 5.185	0.06	0.10
 0- 0	 2- 2	 3- 0	    10167.26	Ej Spelad	0.10	0.10
 0- 0	 2- 2	 3- 2	    13673.22	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 0- 1	    11533.70	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 1- 0	     8430.17	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 1- 1	     6465.66	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 1- 2	    12832.27	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 2- 0	    11636.45	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 2- 1	     9955.63	Ej Spelad	0.10	0.10
 0- 0	 2- 3	 2- 2	    15763.39	Ej Spelad	0.10	0.10
 0- 0	 3- 2	 2- 0	    11334.36	Ej Spelad	0.10	0.10
 0- 0	 3- 3	 1- 1	    13452.19	Ej Spelad	0.10	0.10
 0- 1	 0- 0	 1- 0	     4664.83	 4.547	0.05	0.10
 0- 1	 0- 0	 1- 1	     3577.77	 5.929	0.07	0.10
 0- 1	 0- 0	 2- 0	     6439.02	Ej Spelad	0.10	0.10
 0- 1	 0- 0	 3- 0	    13690.86	Ej Spelad	0.10	0.10
 0- 1	 0- 0	 3- 1	    10828.81	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 1- 0	     4284.29	 4.951	0.06	0.10
