   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 4	 2- 0	 0- 0	    11645.52	Ej Spelad	0.10	0.10
 0- 4	 2- 1	 0- 0	     3716.65	Ej Spelad	0.10	0.10
 0- 4	 2- 2	 0- 0	     1926.58	Ej Spelad	0.10	0.10
 0- 4	 2- 3	 0- 0	     3183.90	Ej Spelad	0.10	0.10
 0- 4	 2- 4	 0- 0	     4351.86	Ej Spelad	0.10	0.10
 0- 4	 2- 5	 0- 0	     6511.44	Ej Spelad	0.10	0.10
 0- 4	 3- 0	 0- 0	     9925.16	Ej Spelad	0.10	0.10
 0- 4	 3- 1	 0- 0	     4389.01	Ej Spelad	0.10	0.10
 0- 4	 3- 2	 0- 0	     3372.25	Ej Spelad	0.10	0.10
 0- 4	 3- 3	 0- 0	     1444.94	Ej Spelad	0.10	0.10
 0- 4	 3- 4	 0- 0	     6414.97	Ej Spelad	0.10	0.10
 0- 4	 3- 5	 0- 0	     7277.49	Ej Spelad	0.10	0.10
 0- 4	 4- 2	 0- 0	     4411.18	Ej Spelad	0.10	0.10
 0- 4	 4- 4	 0- 0	     2889.87	Ej Spelad	0.10	0.10
 0- 4	 5- 1	 0- 0	    14803.62	Ej Spelad	0.10	0.10
 0- 4	 5- 2	 0- 0	     7339.61	Ej Spelad	0.10	0.10
 0- 4	 5- 3	 0- 0	     7798.34	Ej Spelad	0.10	0.10
 0- 4	 6- 3	 0- 0	    14803.62	Ej Spelad	0.10	0.10
 0- 5	 1- 2	 0- 0	     5318.71	Ej Spelad	0.10	0.10
 0- 5	 2- 1	 0- 0	     5090.20	Ej Spelad	0.10	0.10
 0- 5	 2- 2	 0- 0	     2638.58	Ej Spelad	0.10	0.10
 0- 5	 2- 3	 0- 0	     4360.56	Ej Spelad	0.10	0.10
 0- 5	 2- 4	 0- 0	     5960.16	Ej Spelad	0.10	0.10
 0- 5	 2- 5	 0- 0	     8917.84	Ej Spelad	0.10	0.10
 0- 5	 3- 0	 0- 0	    13593.15	Ej Spelad	0.10	0.10
 0- 5	 3- 1	 0- 0	     6011.04	Ej Spelad	0.10	0.10
 0- 5	 3- 2	 0- 0	     4618.52	Ej Spelad	0.10	0.10
 0- 5	 3- 3	 0- 0	     1978.93	Ej Spelad	0.10	0.10
 0- 5	 3- 4	 0- 0	     8785.72	Ej Spelad	0.10	0.10
 0- 5	 3- 5	 0- 0	     9966.99	Ej Spelad	0.10	0.10
 0- 5	 4- 1	 0- 0	     7619.09	Ej Spelad	0.10	0.10
 0- 5	 4- 2	 0- 0	     6041.40	Ej Spelad	0.10	0.10
 0- 5	 4- 3	 0- 0	     9804.89	Ej Spelad	0.10	0.10
 0- 5	 4- 4	 0- 0	     3957.87	Ej Spelad	0.10	0.10
 0- 5	 5- 2	 0- 0	    10052.08	Ej Spelad	0.10	0.10
 0- 5	 5- 3	 0- 0	    10680.33	Ej Spelad	0.10	0.10
 0- 6	 2- 2	 0- 0	     8669.62	Ej Spelad	0.10	0.10
 0- 6	 2- 3	 0- 0	    14327.55	Ej Spelad	0.10	0.10
 0- 6	 3- 3	 0- 0	     6502.21	Ej Spelad	0.10	0.10
 0- 6	 4- 4	 0- 0	    13004.43	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 0- 0	     7147.19	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 0- 0	    13040.48	Ej Spelad	0.10	0.10
 1- 0	 1- 2	 0- 0	     3333.22	 2.046	0.06	0.10
 1- 0	 1- 3	 0- 0	     3754.08	 3.632	0.07	0.10
 1- 0	 1- 4	 0- 0	     4795.53	Ej Spelad	0.10	0.10
 1- 0	 1- 5	 0- 0	    10618.68	Ej Spelad	0.10	0.10
 1- 0	 2- 2	 0- 0	     1653.59	 2.062	0.13	0.10
 1- 0	 2- 3	 0- 0	     2732.75	 4.990	0.09	0.10
 1- 0	 2- 4	 0- 0	     3735.21	Ej Spelad	0.10	0.10
 1- 0	 2- 5	 0- 0	     5588.78	Ej Spelad	0.10	0.10
 1- 0	 2- 6	 0- 0	    13764.95	Ej Spelad	0.10	0.10
 1- 0	 3- 3	 0- 0	     1240.19	 7.330	0.19	0.20
 1- 0	 3- 5	 0- 0	     6246.28	Ej Spelad	0.10	0.10
 1- 0	 3- 6	 0- 0	    14024.67	Ej Spelad	0.10	0.10
 1- 0	 4- 4	 0- 0	     2480.38	 5.498	0.10	0.10
 1- 2	 0- 1	 0- 0	     3071.00	 8.881	0.07	0.10
 1- 2	 0- 2	 0- 0	     2480.42	 3.665	0.10	0.10
 1- 2	 0- 3	 0- 0	     1860.32	Ej Spelad	0.10	0.10
 1- 2	 0- 4	 0- 0	     3394.26	Ej Spelad	0.10	0.10
 1- 2	 0- 5	 0- 0	     6449.09	Ej Spelad	0.10	0.10
 1- 2	 1- 0	 0- 0	     2827.89	 3.215	0.09	0.10
 1- 2	 1- 2	 0- 0	      867.59	 3.929	0.29	0.30
 1- 2	 1- 3	 0- 0	      977.14	 5.582	0.25	0.20
 1- 2	 1- 4	 0- 0	     1248.21	Ej Spelad	0.10	0.10
 1- 2	 1- 5	 0- 0	     2763.90	Ej Spelad	0.10	0.10
 1- 2	 2- 1	 0- 0	      830.32	 3.285	0.30	0.30
 1- 2	 2- 2	 0- 0	      430.41	 5.760	0.56	0.60
 1- 2	 2- 3	 0- 0	      711.30	12.781	0.28	0.30
 1- 2	 2- 4	 0- 0	      972.22	28.052	0.16	0.20
 1- 2	 2- 5	 0- 0	     1454.68	Ej Spelad	0.10	0.10
 1- 2	 2- 6	 0- 0	     3582.83	Ej Spelad	0.10	0.10
 1- 2	 2- 7	 0- 0	     8794.22	Ej Spelad	0.10	0.10
 1- 2	 2- 8	 0- 0	    13819.48	Ej Spelad	0.10	0.10
 1- 2	 3- 1	 0- 0	      980.52	 1.987	0.21	0.20
 1- 2	 3- 2	 0- 0	      753.38	 3.620	0.33	0.30
 1- 2	 3- 3	 0- 0	      322.80	16.898	0.57	0.60
 1- 2	 3- 4	 0- 0	     1433.13	19.030	0.12	0.10
 1- 2	 3- 5	 0- 0	     1625.82	Ej Spelad	0.10	0.10
 1- 2	 3- 6	 0- 0	     3650.43	Ej Spelad	0.10	0.10
 1- 2	 3- 7	 0- 0	    12092.05	Ej Spelad	0.10	0.10
 1- 2	 4- 1	 0- 0	     1242.83	 1.372	0.10	0.10
 1- 2	 4- 2	 0- 0	      985.48	 1.845	0.20	0.20
 1- 2	 4- 3	 0- 0	     1599.38	 3.410	0.16	0.20
 1- 2	 4- 4	 0- 0	      645.61	21.122	0.26	0.30
 1- 2	 4- 5	 0- 0	     4397.11	Ej Spelad	0.10	0.10
 1- 2	 4- 7	 0- 0	     9673.64	Ej Spelad	0.10	0.10
 1- 2	 5- 2	 0- 0	     1639.70	 1.512	0.09	0.10
 1- 2	 5- 3	 0- 0	     1742.18	 2.609	0.14	0.10
 1- 2	 5- 4	 0- 0	     4434.64	 3.075	0.06	0.10
 1- 2	 5- 6	 0- 0	    10748.49	Ej Spelad	0.10	0.10
 1- 2	 6- 3	 0- 0	     3307.19	 2.749	0.07	0.10
 1- 2	 6- 5	 0- 0	    11477.90	Ej Spelad	0.10	0.10
 1- 2	 7- 4	 0- 0	    12195.27	Ej Spelad	0.10	0.10
 1- 3	 0- 1	 0- 0	     3356.67	Ej Spelad	0.10	0.10
 1- 3	 0- 2	 0- 0	     2711.16	10.059	0.08	0.10
 1- 3	 0- 3	 0- 0	     2033.37	 6.706	0.12	0.10
 1- 3	 0- 4	 0- 0	     3710.00	 7.351	0.06	0.10
 1- 3	 1- 0	 0- 0	     3090.95	 4.412	0.08	0.10
 1- 3	 1- 2	 0- 0	      948.30	 5.752	0.26	0.30
 1- 3	 1- 3	 0- 0	     1068.03	 4.256	0.23	0.20
 1- 3	 1- 4	 0- 0	     1364.32	 9.995	0.16	0.20
 1- 3	 1- 5	 0- 0	     3021.00	 4.514	0.08	0.10
 1- 3	 2- 0	 0- 0	     2843.67	 1.918	0.07	0.10
 1- 3	 2- 1	 0- 0	      907.56	 5.009	0.27	0.30
 1- 3	 2- 2	 0- 0	      470.44	11.595	0.44	0.40
 1- 3	 2- 3	 0- 0	      777.46	 7.016	0.30	0.30
 1- 3	 2- 4	 0- 0	     1062.66	25.665	0.15	0.10
 1- 3	 2- 5	 0- 0	     1590.00	17.153	0.12	0.10
 1- 3	 2- 6	 0- 0	     3916.12	Ej Spelad	0.10	0.10
 1- 3	 2- 7	 0- 0	     9612.28	Ej Spelad	0.10	0.10
 1- 3	 3- 0	 0- 0	     2423.58	 1.876	0.08	0.10
 1- 3	 3- 1	 0- 0	     1071.74	 2.827	0.22	0.20
 1- 3	 3- 2	 0- 0	      823.46	 4.731	0.30	0.30
 1- 3	 3- 3	 0- 0	      352.83	15.459	0.54	0.50
 1- 3	 3- 4	 0- 0	     1566.45	 8.705	0.14	0.10
 1- 3	 3- 5	 0- 0	     1777.06	Ej Spelad	0.10	0.10
 1- 3	 3- 6	 0- 0	     3990.00	Ej Spelad	0.10	0.10
 1- 3	 3- 7	 0- 0	    13216.89	Ej Spelad	0.10	0.10
 1- 3	 4- 1	 0- 0	     1358.44	 2.231	0.16	0.20
 1- 3	 4- 2	 0- 0	     1077.15	 3.165	0.23	0.20
 1- 3	 4- 3	 0- 0	     1748.16	 3.900	0.14	0.10
 1- 3	 4- 4	 0- 0	      705.67	19.324	0.25	0.20
 1- 3	 4- 5	 0- 0	     4806.14	Ej Spelad	0.10	0.10
 1- 3	 4- 7	 0- 0	    10573.51	Ej Spelad	0.10	0.10
 1- 3	 5- 2	 0- 0	     1792.23	 1.902	0.11	0.10
 1- 3	 5- 3	 0- 0	     1904.24	 2.864	0.13	0.10
 1- 3	 5- 6	 0- 0	    11748.35	Ej Spelad	0.10	0.10
 1- 3	 6- 3	 0- 0	     3614.84	 2.515	0.06	0.10
 1- 3	 6- 5	 0- 0	    12545.61	Ej Spelad	0.10	0.10
 1- 3	 7- 4	 0- 0	    13329.71	Ej Spelad	0.10	0.10
 1- 4	 0- 1	 0- 0	     4203.99	Ej Spelad	0.10	0.10
 1- 4	 0- 2	 0- 0	     3395.53	Ej Spelad	0.10	0.10
 1- 4	 0- 3	 0- 0	     2546.65	10.709	0.08	0.10
 1- 4	 0- 4	 0- 0	     4646.51	 5.870	0.05	0.10
 1- 4	 1- 0	 0- 0	     3871.19	Ej Spelad	0.10	0.10
 1- 4	 1- 2	 0- 0	     1187.67	22.963	0.14	0.10
 1- 4	 1- 3	 0- 0	     1337.63	20.389	0.13	0.10
 1- 4	 1- 4	 0- 0	     1708.72	15.961	0.11	0.10
 1- 4	 1- 5	 0- 0	     3783.59	 7.208	0.06	0.10
 1- 4	 2- 0	 0- 0	     3561.49	 7.658	0.06	0.10
 1- 4	 2- 1	 0- 0	     1136.65	23.994	0.14	0.10
 1- 4	 2- 2	 0- 0	      589.20	46.288	0.21	0.20
 1- 4	 2- 3	 0- 0	      973.72	28.009	0.16	0.20
 1- 4	 2- 4	 0- 0	     1330.91	Ej Spelad	0.10	0.10
 1- 4	 2- 5	 0- 0	     1991.36	Ej Spelad	0.10	0.10
 1- 4	 2- 6	 0- 0	     4904.65	Ej Spelad	0.10	0.10
 1- 4	 2- 7	 0- 0	    12038.69	Ej Spelad	0.10	0.10
 1- 4	 3- 0	 0- 0	     3035.36	 4.493	0.08	0.10
 1- 4	 3- 1	 0- 0	     1342.27	 6.773	0.18	0.20
 1- 4	 3- 2	 0- 0	     1031.32	26.445	0.15	0.20
 1- 4	 3- 3	 0- 0	      441.90	61.717	0.25	0.30
 1- 4	 3- 4	 0- 0	     1961.86	Ej Spelad	0.10	0.10
 1- 4	 3- 5	 0- 0	     2225.64	Ej Spelad	0.10	0.10
 1- 4	 3- 6	 0- 0	     4997.19	Ej Spelad	0.10	0.10
 1- 4	 4- 1	 0- 0	     1701.35	 4.008	0.15	0.10
 1- 4	 4- 2	 0- 0	     1349.05	 6.739	0.18	0.20
 1- 4	 4- 3	 0- 0	     2189.44	12.457	0.09	0.10
 1- 4	 4- 4	 0- 0	      883.80	Ej Spelad	0.10	0.10
 1- 4	 4- 5	 0- 0	     6019.34	Ej Spelad	0.10	0.10
 1- 4	 4- 7	 0- 0	    13242.55	Ej Spelad	0.10	0.10
 1- 4	 5- 2	 0- 0	     2244.64	 6.075	0.11	0.10
 1- 4	 5- 3	 0- 0	     2384.93	11.435	0.09	0.10
 1- 4	 5- 4	 0- 0	     6070.73	Ej Spelad	0.10	0.10
 1- 4	 5- 6	 0- 0	    14713.95	Ej Spelad	0.10	0.10
 1- 4	 6- 3	 0- 0	     4527.32	Ej Spelad	0.10	0.10
 1- 4	 6- 4	 0- 0	    10273.54	Ej Spelad	0.10	0.10
 1- 4	 7- 2	 0- 0	    10684.48	Ej Spelad	0.10	0.10
 1- 5	 0- 1	 0- 0	    13121.53	Ej Spelad	0.10	0.10
 1- 5	 0- 2	 0- 0	    10598.16	Ej Spelad	0.10	0.10
 1- 5	 1- 0	 0- 0	    12082.80	Ej Spelad	0.10	0.10
 1- 5	 1- 2	 0- 0	     3706.98	Ej Spelad	0.10	0.10
 1- 5	 1- 3	 0- 0	     4175.03	 3.266	0.06	0.10
 1- 5	 2- 0	 0- 0	    11116.17	Ej Spelad	0.10	0.10
 1- 5	 2- 1	 0- 0	     3547.72	Ej Spelad	0.10	0.10
 1- 5	 2- 2	 0- 0	     1839.01	Ej Spelad	0.10	0.10
 1- 5	 2- 3	 0- 0	     3039.18	 8.974	0.07	0.10
 1- 5	 2- 4	 0- 0	     4154.05	 6.565	0.06	0.10
 1- 5	 3- 0	 0- 0	     9474.01	Ej Spelad	0.10	0.10
 1- 5	 3- 1	 0- 0	     4189.51	Ej Spelad	0.10	0.10
 1- 5	 3- 2	 0- 0	     3218.97	Ej Spelad	0.10	0.10
 1- 5	 3- 3	 0- 0	     1379.26	Ej Spelad	0.10	0.10
 1- 5	 3- 4	 0- 0	     6123.38	Ej Spelad	0.10	0.10
 1- 5	 3- 5	 0- 0	     6946.69	Ej Spelad	0.10	0.10
 1- 5	 4- 2	 0- 0	     4210.67	 6.477	0.06	0.10
 1- 5	 4- 3	 0- 0	     6833.71	Ej Spelad	0.10	0.10
 1- 5	 4- 4	 0- 0	     2758.52	Ej Spelad	0.10	0.10
 1- 5	 5- 3	 0- 0	     7443.87	Ej Spelad	0.10	0.10
 1- 5	 6- 3	 0- 0	    14130.73	Ej Spelad	0.10	0.10
 1- 6	 1- 2	 0- 0	     9786.43	Ej Spelad	0.10	0.10
 1- 6	 2- 1	 0- 0	     9365.97	Ej Spelad	0.10	0.10
 1- 6	 2- 2	 0- 0	     4854.99	Ej Spelad	0.10	0.10
 1- 6	 3- 1	 0- 0	    11060.31	Ej Spelad	0.10	0.10
 1- 6	 3- 2	 0- 0	     8498.08	Ej Spelad	0.10	0.10
 1- 6	 3- 3	 0- 0	     3641.24	Ej Spelad	0.10	0.10
 1- 6	 4- 1	 0- 0	    14019.12	Ej Spelad	0.10	0.10
 1- 6	 4- 2	 0- 0	    11116.17	Ej Spelad	0.10	0.10
 1- 6	 4- 4	 0- 0	     7282.48	Ej Spelad	0.10	0.10
 1- 7	 3- 3	 0- 0	    11378.88	Ej Spelad	0.10	0.10
 1- 8	 3- 3	 0- 0	    11378.88	Ej Spelad	0.10	0.10
 2- 0	 0- 3	 0- 0	     5642.52	Ej Spelad	0.10	0.10
 2- 0	 0- 4	 0- 0	    10295.12	Ej Spelad	0.10	0.10
 2- 0	 1- 4	 0- 0	     3785.95	 3.602	0.07	0.10
 2- 0	 1- 5	 0- 0	     8383.17	Ej Spelad	0.10	0.10
 2- 0	 2- 3	 0- 0	     2157.43	 1.405	0.06	0.10
 2- 0	 2- 4	 0- 0	     2948.85	 3.083	0.08	0.10
 2- 0	 2- 5	 0- 0	     4412.19	Ej Spelad	0.10	0.10
 2- 0	 2- 6	 0- 0	    10867.07	Ej Spelad	0.10	0.10
 2- 0	 3- 3	 0- 0	      979.10	 2.143	0.22	0.20
 2- 0	 3- 6	 0- 0	    11072.11	Ej Spelad	0.10	0.10
 2- 0	 4- 4	 0- 0	     1958.20	 3.482	0.13	0.10
 2- 1	 0- 1	 0- 0	     2913.22	 2.340	0.08	0.10
 2- 1	 0- 2	 0- 0	     2352.98	 2.898	0.10	0.10
 2- 1	 0- 3	 0- 0	     1764.74	Ej Spelad	0.10	0.10
 2- 1	 0- 4	 0- 0	     3219.87	Ej Spelad	0.10	0.10
