   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 3	 0- 2	 0- 0	     2462.95	Ej Spelad	0.10	0.10
 2- 3	 0- 3	 0- 0	     1847.21	Ej Spelad	0.10	0.10
 2- 3	 0- 4	 0- 0	     3370.36	Ej Spelad	0.10	0.10
 2- 3	 0- 5	 0- 0	     6403.68	Ej Spelad	0.10	0.10
 2- 3	 1- 2	 0- 0	      861.48	 3.957	0.29	0.30
 2- 3	 1- 3	 0- 0	      970.25	 3.123	0.25	0.30
 2- 3	 1- 4	 0- 0	     1239.42	 7.335	0.19	0.20
 2- 3	 1- 5	 0- 0	     2744.43	 9.938	0.08	0.10
 2- 3	 1- 6	 0- 0	     5821.52	Ej Spelad	0.10	0.10
 2- 3	 2- 1	 0- 0	      824.47	 2.545	0.28	0.30
 2- 3	 2- 2	 0- 0	      427.38	 5.318	0.57	0.60
 2- 3	 2- 3	 0- 0	      706.29	 2.970	0.34	0.30
 2- 3	 2- 4	 0- 0	      965.38	 9.417	0.23	0.20
 2- 3	 2- 5	 0- 0	     1444.44	18.881	0.12	0.10
 2- 3	 2- 6	 0- 0	     3557.60	Ej Spelad	0.10	0.10
 2- 3	 2- 7	 0- 0	     8732.29	Ej Spelad	0.10	0.10
 2- 3	 2- 8	 0- 0	    13722.17	Ej Spelad	0.10	0.10
 2- 3	 3- 1	 0- 0	      973.62	 1.556	0.16	0.20
 2- 3	 3- 2	 0- 0	      748.07	 2.145	0.29	0.30
 2- 3	 3- 3	 0- 0	      320.53	 7.090	0.73	0.70
 2- 3	 3- 4	 0- 0	     1423.04	 6.388	0.17	0.20
 2- 3	 3- 5	 0- 0	     1614.37	Ej Spelad	0.10	0.10
 2- 3	 3- 6	 0- 0	     3624.72	Ej Spelad	0.10	0.10
 2- 3	 3- 7	 0- 0	    12006.89	Ej Spelad	0.10	0.10
 2- 3	 4- 2	 0- 0	      978.54	 1.639	0.17	0.20
 2- 3	 4- 3	 0- 0	     1588.12	 1.431	0.09	0.10
 2- 3	 4- 4	 0- 0	      641.06	14.181	0.30	0.30
 2- 3	 4- 5	 0- 0	     4366.14	Ej Spelad	0.10	0.10
 2- 3	 4- 6	 0- 0	     6197.11	Ej Spelad	0.10	0.10
 2- 3	 4- 7	 0- 0	     9605.51	Ej Spelad	0.10	0.10
 2- 3	 5- 6	 0- 0	    10672.79	Ej Spelad	0.10	0.10
 2- 3	 6- 5	 0- 0	    11397.07	Ej Spelad	0.10	0.10
 2- 4	 0- 1	 0- 0	     3654.10	Ej Spelad	0.10	0.10
 2- 4	 0- 2	 0- 0	     2951.39	Ej Spelad	0.10	0.10
 2- 4	 0- 3	 0- 0	     2213.54	Ej Spelad	0.10	0.10
 2- 4	 0- 4	 0- 0	     4038.74	Ej Spelad	0.10	0.10
 2- 4	 0- 5	 0- 0	     7673.60	Ej Spelad	0.10	0.10
 2- 4	 1- 0	 0- 0	     3364.83	 8.105	0.07	0.10
 2- 4	 1- 2	 0- 0	     1032.32	26.419	0.15	0.20
 2- 4	 1- 3	 0- 0	     1162.67	Ej Spelad	0.10	0.10
 2- 4	 1- 4	 0- 0	     1485.21	Ej Spelad	0.10	0.10
 2- 4	 1- 5	 0- 0	     3288.69	Ej Spelad	0.10	0.10
 2- 4	 1- 6	 0- 0	     6976.00	Ej Spelad	0.10	0.10
 2- 4	 2- 0	 0- 0	     3095.64	 4.405	0.08	0.10
 2- 4	 2- 1	 0- 0	      987.97	 6.901	0.24	0.20
 2- 4	 2- 2	 0- 0	      512.13	13.313	0.39	0.40
 2- 4	 2- 3	 0- 0	      846.35	16.112	0.22	0.20
 2- 4	 2- 4	 0- 0	     1156.82	Ej Spelad	0.10	0.10
 2- 4	 2- 5	 0- 0	     1730.89	Ej Spelad	0.10	0.10
 2- 4	 2- 6	 0- 0	     4263.11	Ej Spelad	0.10	0.10
 2- 4	 2- 7	 0- 0	    10464.01	Ej Spelad	0.10	0.10
 2- 4	 3- 0	 0- 0	     2638.33	 5.169	0.09	0.10
 2- 4	 3- 1	 0- 0	     1166.70	 3.339	0.21	0.20
 2- 4	 3- 2	 0- 0	      896.42	 7.606	0.26	0.30
 2- 4	 3- 3	 0- 0	      384.10	23.668	0.43	0.40
 2- 4	 3- 4	 0- 0	     1705.25	Ej Spelad	0.10	0.10
 2- 4	 3- 5	 0- 0	     1934.52	Ej Spelad	0.10	0.10
 2- 4	 3- 6	 0- 0	     4343.55	Ej Spelad	0.10	0.10
 2- 4	 3- 7	 0- 0	    14388.01	Ej Spelad	0.10	0.10
 2- 4	 4- 1	 0- 0	     1478.81	 2.305	0.15	0.20
 2- 4	 4- 2	 0- 0	     1172.59	 3.323	0.21	0.20
 2- 4	 4- 3	 0- 0	     1903.06	 4.777	0.13	0.10
 2- 4	 4- 4	 0- 0	      768.19	35.502	0.18	0.20
 2- 4	 4- 5	 0- 0	     5232.00	Ej Spelad	0.10	0.10
 2- 4	 4- 6	 0- 0	     7426.07	Ej Spelad	0.10	0.10
 2- 4	 4- 7	 0- 0	    11510.41	Ej Spelad	0.10	0.10
 2- 4	 5- 2	 0- 0	     1951.04	 2.796	0.12	0.10
 2- 4	 5- 3	 0- 0	     2072.98	 4.385	0.12	0.10
 2- 4	 5- 4	 0- 0	     5276.67	Ej Spelad	0.10	0.10
 2- 4	 5- 6	 0- 0	    12789.34	Ej Spelad	0.10	0.10
 2- 4	 6- 2	 0- 0	     4299.50	 3.172	0.06	0.10
 2- 4	 6- 3	 0- 0	     3935.14	 3.465	0.06	0.10
 2- 4	 6- 4	 0- 0	     8929.74	Ej Spelad	0.10	0.10
 2- 4	 6- 5	 0- 0	    13657.25	Ej Spelad	0.10	0.10
 2- 4	 7- 4	 0- 0	    14510.83	Ej Spelad	0.10	0.10
 2- 5	 0- 1	 0- 0	     5891.30	Ej Spelad	0.10	0.10
 2- 5	 0- 2	 0- 0	     4758.36	Ej Spelad	0.10	0.10
 2- 5	 0- 3	 0- 0	     3568.77	Ej Spelad	0.10	0.10
 2- 5	 0- 4	 0- 0	     6511.44	Ej Spelad	0.10	0.10
 2- 5	 0- 5	 0- 0	    12371.73	Ej Spelad	0.10	0.10
 2- 5	 1- 0	 0- 0	     5424.93	Ej Spelad	0.10	0.10
 2- 5	 1- 2	 0- 0	     1664.36	Ej Spelad	0.10	0.10
 2- 5	 1- 3	 0- 0	     1874.50	14.549	0.10	0.10
 2- 5	 1- 4	 0- 0	     2394.53	11.390	0.09	0.10
 2- 5	 1- 6	 0- 0	    11247.03	Ej Spelad	0.10	0.10
 2- 5	 2- 1	 0- 0	     1592.85	17.122	0.12	0.10
 2- 5	 2- 2	 0- 0	      825.68	33.031	0.17	0.20
 2- 5	 2- 3	 0- 0	     1364.53	19.987	0.13	0.10
 2- 5	 2- 4	 0- 0	     1865.08	14.623	0.10	0.10
 2- 5	 2- 5	 0- 0	     2790.62	 9.773	0.08	0.10
 2- 5	 2- 6	 0- 0	     6873.18	Ej Spelad	0.10	0.10
 2- 5	 3- 0	 0- 0	     4253.64	 6.412	0.06	0.10
 2- 5	 3- 1	 0- 0	     1881.01	 7.250	0.12	0.10
 2- 5	 3- 2	 0- 0	     1445.25	18.871	0.12	0.10
 2- 5	 3- 3	 0- 0	      619.26	Ej Spelad	0.10	0.10
 2- 5	 3- 4	 0- 0	     2749.27	Ej Spelad	0.10	0.10
 2- 5	 3- 5	 0- 0	     3118.92	Ej Spelad	0.10	0.10
 2- 5	 3- 6	 0- 0	     7002.87	Ej Spelad	0.10	0.10
 2- 5	 4- 1	 0- 0	     2384.20	 5.719	0.10	0.10
 2- 5	 4- 2	 0- 0	     1890.51	 7.213	0.12	0.10
 2- 5	 4- 3	 0- 0	     3068.20	Ej Spelad	0.10	0.10
 2- 5	 4- 4	 0- 0	     1238.52	Ej Spelad	0.10	0.10
 2- 5	 4- 5	 0- 0	     8435.27	Ej Spelad	0.10	0.10
 2- 5	 4- 6	 0- 0	    11972.64	Ej Spelad	0.10	0.10
 2- 5	 5- 2	 0- 0	     3145.55	 4.335	0.08	0.10
 2- 5	 5- 3	 0- 0	     3342.14	Ej Spelad	0.10	0.10
 2- 5	 5- 4	 0- 0	     8507.28	Ej Spelad	0.10	0.10
 2- 5	 6- 3	 0- 0	     6344.41	Ej Spelad	0.10	0.10
 2- 5	 6- 4	 0- 0	    14396.93	Ej Spelad	0.10	0.10
 2- 6	 0- 1	 0- 0	    14678.32	Ej Spelad	0.10	0.10
 2- 6	 0- 2	 0- 0	    11855.57	Ej Spelad	0.10	0.10
 2- 6	 0- 3	 0- 0	     8891.68	Ej Spelad	0.10	0.10
 2- 6	 1- 0	 0- 0	    13516.35	Ej Spelad	0.10	0.10
 2- 6	 1- 2	 0- 0	     4146.79	Ej Spelad	0.10	0.10
 2- 6	 1- 3	 0- 0	     4670.38	 5.840	0.05	0.10
 2- 6	 2- 0	 0- 0	    12435.04	Ej Spelad	0.10	0.10
 2- 6	 2- 1	 0- 0	     3968.63	Ej Spelad	0.10	0.10
 2- 6	 2- 2	 0- 0	     2057.20	Ej Spelad	0.10	0.10
 2- 6	 2- 3	 0- 0	     3399.76	 8.022	0.07	0.10
 2- 6	 2- 4	 0- 0	     4646.91	 5.869	0.05	0.10
 2- 6	 3- 0	 0- 0	    10598.05	Ej Spelad	0.10	0.10
 2- 6	 3- 1	 0- 0	     4686.57	Ej Spelad	0.10	0.10
 2- 6	 3- 2	 0- 0	     3600.88	Ej Spelad	0.10	0.10
 2- 6	 3- 3	 0- 0	     1542.90	Ej Spelad	0.10	0.10
 2- 6	 3- 4	 0- 0	     6849.88	Ej Spelad	0.10	0.10
 2- 6	 3- 5	 0- 0	     7770.88	Ej Spelad	0.10	0.10
 2- 6	 4- 1	 0- 0	     5940.31	Ej Spelad	0.10	0.10
 2- 6	 4- 2	 0- 0	     4710.24	Ej Spelad	0.10	0.10
 2- 6	 4- 3	 0- 0	     7644.49	Ej Spelad	0.10	0.10
 2- 6	 4- 4	 0- 0	     3085.80	Ej Spelad	0.10	0.10
 2- 6	 5- 2	 0- 0	     7837.21	Ej Spelad	0.10	0.10
 2- 6	 5- 3	 0- 0	     8327.04	Ej Spelad	0.10	0.10
 2- 7	 1- 2	 0- 0	    12233.03	Ej Spelad	0.10	0.10
 2- 7	 1- 3	 0- 0	    13777.61	Ej Spelad	0.10	0.10
 2- 7	 2- 1	 0- 0	    11707.46	Ej Spelad	0.10	0.10
 2- 7	 2- 2	 0- 0	     6068.73	Ej Spelad	0.10	0.10
 2- 7	 2- 3	 0- 0	    10029.29	Ej Spelad	0.10	0.10
 2- 7	 2- 4	 0- 0	    13708.37	Ej Spelad	0.10	0.10
 2- 7	 3- 1	 0- 0	    13825.39	Ej Spelad	0.10	0.10
 2- 7	 3- 2	 0- 0	    10622.60	Ej Spelad	0.10	0.10
 2- 7	 3- 3	 0- 0	     4551.55	Ej Spelad	0.10	0.10
 2- 7	 4- 2	 0- 0	    13895.22	Ej Spelad	0.10	0.10
 2- 7	 4- 4	 0- 0	     9103.10	Ej Spelad	0.10	0.10
 2- 8	 2- 2	 0- 0	    12137.47	Ej Spelad	0.10	0.10
 2- 8	 3- 3	 0- 0	     9103.10	Ej Spelad	0.10	0.10
 3- 0	 0- 3	 0- 0	     3176.53	 4.293	0.08	0.10
 3- 0	 0- 4	 0- 0	     5795.77	Ej Spelad	0.10	0.10
 3- 0	 0- 5	 0- 0	    11011.96	Ej Spelad	0.10	0.10
 3- 0	 1- 3	 0- 0	     1668.48	 1.816	0.11	0.10
 3- 0	 1- 4	 0- 0	     2131.35	 4.265	0.12	0.10
 3- 0	 1- 5	 0- 0	     4719.41	 5.779	0.05	0.10
 3- 0	 1- 6	 0- 0	    10010.88	Ej Spelad	0.10	0.10
 3- 0	 2- 4	 0- 0	     1660.09	 2.738	0.14	0.10
 3- 0	 2- 5	 0- 0	     2483.90	 5.490	0.10	0.10
 3- 0	 2- 6	 0- 0	     6117.76	Ej Spelad	0.10	0.10
 3- 0	 3- 3	 0- 0	      551.20	 1.767	0.34	0.30
 3- 0	 3- 4	 0- 0	     2447.10	 1.592	0.07	0.10
 3- 0	 3- 5	 0- 0	     2776.12	 4.912	0.09	0.10
 3- 0	 3- 6	 0- 0	     6233.19	Ej Spelad	0.10	0.10
 3- 0	 4- 4	 0- 0	     1102.39	 2.749	0.22	0.20
 3- 0	 4- 6	 0- 0	    10656.74	Ej Spelad	0.10	0.10
 3- 1	 0- 2	 0- 0	     2659.42	 1.709	0.07	0.10
 3- 1	 0- 3	 0- 0	     1994.56	 6.837	0.12	0.10
 3- 1	 0- 4	 0- 0	     3639.20	Ej Spelad	0.10	0.10
 3- 1	 0- 5	 0- 0	     6914.49	Ej Spelad	0.10	0.10
 3- 1	 1- 2	 0- 0	      930.20	 1.466	0.15	0.20
 3- 1	 1- 3	 0- 0	     1047.65	 2.169	0.21	0.20
 3- 1	 1- 4	 0- 0	     1338.29	 6.793	0.18	0.20
 3- 1	 1- 5	 0- 0	     2963.35	 9.203	0.07	0.10
 3- 1	 1- 6	 0- 0	     6285.90	Ej Spelad	0.10	0.10
 3- 1	 2- 4	 0- 0	     1042.39	 2.180	0.21	0.20
 3- 1	 2- 5	 0- 0	     1559.66	 8.743	0.14	0.10
 3- 1	 2- 6	 0- 0	     3841.38	Ej Spelad	0.10	0.10
 3- 1	 2- 7	 0- 0	     9428.85	Ej Spelad	0.10	0.10
 3- 1	 3- 3	 0- 0	      346.10	 1.751	0.53	0.50
 3- 1	 3- 4	 0- 0	     1536.55	 1.614	0.11	0.10
 3- 1	 3- 5	 0- 0	     1743.15	 5.215	0.14	0.10
 3- 1	 3- 6	 0- 0	     3913.86	Ej Spelad	0.10	0.10
 3- 1	 3- 7	 0- 0	    12964.67	Ej Spelad	0.10	0.10
 3- 1	 4- 4	 0- 0	      692.20	 3.031	0.35	0.40
 3- 1	 4- 6	 0- 0	     6691.44	Ej Spelad	0.10	0.10
 3- 1	 4- 7	 0- 0	    10371.73	Ej Spelad	0.10	0.10
 3- 1	 5- 6	 0- 0	    11524.15	Ej Spelad	0.10	0.10
 3- 2	 0- 1	 0- 0	     2671.37	 5.105	0.09	0.10
 3- 2	 0- 2	 0- 0	     2157.64	 6.320	0.11	0.10
 3- 2	 0- 3	 0- 0	     1618.23	16.853	0.11	0.10
 3- 2	 0- 4	 0- 0	     2952.56	Ej Spelad	0.10	0.10
 3- 2	 0- 5	 0- 0	     5609.87	Ej Spelad	0.10	0.10
 3- 2	 1- 0	 0- 0	     2459.89	 1.386	0.05	0.10
 3- 2	 1- 2	 0- 0	      754.69	 2.780	0.32	0.30
 3- 2	 1- 3	 0- 0	      849.98	 3.209	0.29	0.30
 3- 2	 1- 4	 0- 0	     1085.78	 8.373	0.21	0.20
 3- 2	 1- 5	 0- 0	     2404.23	11.344	0.09	0.10
 3- 2	 1- 6	 0- 0	     5099.88	Ej Spelad	0.10	0.10
 3- 2	 2- 2	 0- 0	      374.40	 1.655	0.46	0.50
 3- 2	 2- 3	 0- 0	      618.74	 1.837	0.31	0.30
 3- 2	 2- 4	 0- 0	      845.71	 6.450	0.28	0.30
 3- 2	 2- 5	 0- 0	     1265.38	10.776	0.17	0.20
 3- 2	 2- 6	 0- 0	     3116.59	Ej Spelad	0.10	0.10
 3- 2	 2- 7	 0- 0	     7649.82	Ej Spelad	0.10	0.10
 3- 2	 2- 8	 0- 0	    12021.14	Ej Spelad	0.10	0.10
 3- 2	 3- 3	 0- 0	      280.80	 2.556	0.83	0.80
 3- 2	 3- 4	 0- 0	     1246.64	 2.431	0.18	0.20
 3- 2	 3- 5	 0- 0	     1414.25	 9.642	0.15	0.20
 3- 2	 3- 6	 0- 0	     3175.40	Ej Spelad	0.10	0.10
 3- 2	 3- 7	 0- 0	    10518.50	Ej Spelad	0.10	0.10
 3- 2	 4- 4	 0- 0	      561.60	 6.070	0.43	0.40
 3- 2	 4- 5	 0- 0	     3824.91	 3.565	0.07	0.10
 3- 2	 4- 6	 0- 0	     5428.90	Ej Spelad	0.10	0.10
 3- 2	 4- 7	 0- 0	     8414.80	Ej Spelad	0.10	0.10
 3- 2	 5- 6	 0- 0	     9349.78	Ej Spelad	0.10	0.10
 3- 3	 0- 1	 0- 0	     1099.40	12.403	0.18	0.20
 3- 3	 0- 2	 0- 0	      887.98	30.713	0.17	0.20
 3- 3	 0- 3	 0- 0	      665.98	40.951	0.20	0.20
 3- 3	 0- 4	 0- 0	     1215.13	Ej Spelad	0.10	0.10
 3- 3	 0- 5	 0- 0	     2308.74	Ej Spelad	0.10	0.10
 3- 3	 0- 6	 0- 0	     8657.78	Ej Spelad	0.10	0.10
 3- 3	 1- 0	 0- 0	     1012.37	 5.388	0.24	0.20
 3- 3	 1- 2	 0- 0	      310.59	12.544	0.65	0.70
 3- 3	 1- 3	 0- 0	      349.81	12.994	0.57	0.60
 3- 3	 1- 4	 0- 0	      446.85	30.517	0.33	0.30
 3- 3	 1- 5	 0- 0	      989.46	Ej Spelad	0.10	0.10
 3- 3	 1- 6	 0- 0	     2098.86	Ej Spelad	0.10	0.10
 3- 3	 1- 7	 0- 0	     6296.57	Ej Spelad	0.10	0.10
 3- 3	 2- 0	 0- 0	      931.38	 1.830	0.21	0.20
 3- 3	 2- 1	 0- 0	      297.25	 4.829	0.83	0.80
 3- 3	 2- 2	 0- 0	      154.08	 8.850	1.45	1.40
 3- 3	 2- 3	 0- 0	      254.64	 9.736	0.86	0.90
 3- 3	 2- 4	 0- 0	      348.05	26.119	0.45	0.50
 3- 3	 2- 5	 0- 0	      520.77	Ej Spelad	0.10	0.10
 3- 3	 2- 6	 0- 0	     1282.63	Ej Spelad	0.10	0.10
 3- 3	 2- 7	 0- 0	     3148.28	Ej Spelad	0.10	0.10
 3- 3	 2- 8	 0- 0	     4947.30	Ej Spelad	0.10	0.10
 3- 3	 3- 0	 0- 0	      793.79	 1.494	0.19	0.20
 3- 3	 3- 1	 0- 0	      351.02	 2.354	0.65	0.60
 3- 3	 3- 2	 0- 0	      269.70	 3.745	0.93	0.90
 3- 3	 3- 3	 0- 0	      115.56	13.112	1.73	1.70
 3- 3	 3- 4	 0- 0	      513.05	10.632	0.41	0.40
 3- 3	 3- 5	 0- 0	      582.04	46.858	0.21	0.20
 3- 3	 3- 6	 0- 0	     1306.83	Ej Spelad	0.10	0.10
 3- 3	 3- 7	 0- 0	     4328.89	Ej Spelad	0.10	0.10
 3- 3	 3- 8	 0- 0	     8657.78	Ej Spelad	0.10	0.10
 3- 3	 4- 1	 0- 0	      444.93	 1.613	0.38	0.40
 3- 3	 4- 2	 0- 0	      352.80	 2.089	0.60	0.60
 3- 3	 4- 3	 0- 0	      572.57	 2.071	0.37	0.40
 3- 3	 4- 4	 0- 0	      231.13	19.667	0.76	0.80
 3- 3	 4- 5	 0- 0	     1574.14	17.326	0.12	0.10
 3- 3	 4- 6	 0- 0	     2234.27	Ej Spelad	0.10	0.10
 3- 3	 4- 7	 0- 0	     3463.11	Ej Spelad	0.10	0.10
 3- 3	 5- 2	 0- 0	      587.00	 1.549	0.27	0.30
 3- 3	 5- 3	 0- 0	      623.69	 2.186	0.35	0.40
 3- 3	 5- 4	 0- 0	     1587.58	 4.295	0.16	0.20
 3- 3	 5- 6	 0- 0	     3847.90	Ej Spelad	0.10	0.10
 3- 3	 5- 7	 0- 0	     8657.78	Ej Spelad	0.10	0.10
 3- 3	 6- 3	 0- 0	     1183.96	 1.772	0.16	0.20
 3- 3	 6- 4	 0- 0	     2686.67	 2.538	0.09	0.10
 3- 3	 6- 5	 0- 0	     4109.03	Ej Spelad	0.10	0.10
 3- 3	 8- 5	 0- 0	    11642.25	Ej Spelad	0.10	0.10
 3- 4	 0- 1	 0- 0	     5248.61	Ej Spelad	0.10	0.10
 3- 4	 0- 2	 0- 0	     4239.26	 6.433	0.06	0.10
 3- 4	 0- 3	 0- 0	     3179.45	 8.578	0.07	0.10
 3- 4	 0- 4	 0- 0	     5801.10	Ej Spelad	0.10	0.10
 3- 4	 0- 5	 0- 0	    11022.09	Ej Spelad	0.10	0.10
 3- 4	 1- 2	 0- 0	     1482.79	 6.131	0.16	0.20
 3- 4	 1- 3	 0- 0	     1670.01	 8.165	0.14	0.10
 3- 4	 1- 4	 0- 0	     2133.31	Ej Spelad	0.10	0.10
 3- 4	 1- 5	 0- 0	     4723.75	Ej Spelad	0.10	0.10
 3- 4	 1- 6	 0- 0	    10020.08	Ej Spelad	0.10	0.10
 3- 4	 2- 1	 0- 0	     1419.09	 3.203	0.17	0.20
 3- 4	 2- 2	 0- 0	      735.60	 6.179	0.33	0.30
 3- 4	 2- 3	 0- 0	     1215.67	 7.478	0.19	0.20
 3- 4	 2- 4	 0- 0	     1661.62	Ej Spelad	0.10	0.10
 3- 4	 2- 5	 0- 0	     2486.18	Ej Spelad	0.10	0.10
 3- 4	 2- 6	 0- 0	     6123.38	Ej Spelad	0.10	0.10
 3- 4	 3- 1	 0- 0	     1675.81	 1.627	0.10	0.10
 3- 4	 3- 2	 0- 0	     1287.59	 3.026	0.19	0.20
 3- 4	 3- 3	 0- 0	      551.70	 9.887	0.39	0.40
 3- 4	 3- 4	 0- 0	     2449.35	 5.567	0.10	0.10
 3- 4	 3- 5	 0- 0	     2778.68	Ej Spelad	0.10	0.10
 3- 4	 3- 6	 0- 0	     6238.92	Ej Spelad	0.10	0.10
 3- 4	 4- 2	 0- 0	     1684.27	 1.799	0.11	0.10
 3- 4	 4- 3	 0- 0	     2733.49	 2.494	0.08	0.10
 3- 4	 4- 4	 0- 0	     1103.41	12.358	0.18	0.20
 3- 4	 4- 5	 0- 0	     7515.06	Ej Spelad	0.10	0.10
 3- 4	 4- 6	 0- 0	    10666.54	Ej Spelad	0.10	0.10
 3- 4	 5- 3	 0- 0	     2977.55	 1.832	0.06	0.10
 3- 5	 0- 1	 0- 0	     5931.65	Ej Spelad	0.10	0.10
 3- 5	 0- 2	 0- 0	     4790.95	Ej Spelad	0.10	0.10
 3- 5	 0- 3	 0- 0	     3593.21	Ej Spelad	0.10	0.10
 3- 5	 0- 4	 0- 0	     6556.04	Ej Spelad	0.10	0.10
 3- 5	 0- 5	 0- 0	    12456.47	Ej Spelad	0.10	0.10
 3- 5	 1- 0	 0- 0	     5462.09	Ej Spelad	0.10	0.10
 3- 5	 1- 2	 0- 0	     1675.76	Ej Spelad	0.10	0.10
 3- 5	 1- 3	 0- 0	     1887.34	Ej Spelad	0.10	0.10
 3- 5	 1- 4	 0- 0	     2410.93	Ej Spelad	0.10	0.10
 3- 5	 1- 5	 0- 0	     5338.49	Ej Spelad	0.10	0.10
 3- 5	 1- 6	 0- 0	    11324.06	Ej Spelad	0.10	0.10
 3- 5	 2- 1	 0- 0	     1603.76	17.006	0.11	0.10
 3- 5	 2- 2	 0- 0	      831.33	16.403	0.22	0.20
 3- 5	 2- 3	 0- 0	     1373.88	Ej Spelad	0.10	0.10
 3- 5	 2- 4	 0- 0	     1877.86	Ej Spelad	0.10	0.10
 3- 5	 2- 5	 0- 0	     2809.73	Ej Spelad	0.10	0.10
 3- 5	 2- 6	 0- 0	     6920.26	Ej Spelad	0.10	0.10
 3- 5	 3- 0	 0- 0	     4282.77	 3.184	0.06	0.10
 3- 5	 3- 1	 0- 0	     1893.89	 7.200	0.12	0.10
 3- 5	 3- 2	 0- 0	     1455.15	 9.371	0.15	0.20
 3- 5	 3- 3	 0- 0	      623.50	43.741	0.21	0.20
 3- 5	 3- 4	 0- 0	     2768.10	Ej Spelad	0.10	0.10
 3- 5	 3- 5	 0- 0	     3140.29	Ej Spelad	0.10	0.10
 3- 5	 3- 6	 0- 0	     7050.83	Ej Spelad	0.10	0.10
 3- 5	 4- 1	 0- 0	     2400.53	 5.681	0.10	0.10
 3- 5	 4- 2	 0- 0	     1903.45	 7.164	0.12	0.10
 3- 5	 4- 3	 0- 0	     3089.21	 8.828	0.07	0.10
 3- 5	 4- 4	 0- 0	     1247.00	Ej Spelad	0.10	0.10
 3- 5	 4- 5	 0- 0	     8493.05	Ej Spelad	0.10	0.10
 3- 5	 4- 6	 0- 0	    12054.65	Ej Spelad	0.10	0.10
 3- 5	 5- 2	 0- 0	     3167.09	 4.306	0.08	0.10
 3- 5	 5- 3	 0- 0	     3365.04	 8.105	0.07	0.10
 3- 5	 5- 4	 0- 0	     8565.55	Ej Spelad	0.10	0.10
 3- 5	 6- 4	 0- 0	    14495.54	Ej Spelad	0.10	0.10
 3- 6	 0- 1	 0- 0	    13121.53	Ej Spelad	0.10	0.10
 3- 6	 0- 2	 0- 0	    10598.16	Ej Spelad	0.10	0.10
 3- 6	 0- 3	 0- 0	     7948.62	Ej Spelad	0.10	0.10
 3- 6	 0- 4	 0- 0	    14502.74	Ej Spelad	0.10	0.10
 3- 6	 1- 0	 0- 0	    12082.80	Ej Spelad	0.10	0.10
 3- 6	 1- 2	 0- 0	     3706.98	Ej Spelad	0.10	0.10
 3- 6	 1- 3	 0- 0	     4175.03	Ej Spelad	0.10	0.10
 3- 6	 1- 4	 0- 0	     5333.27	Ej Spelad	0.10	0.10
 3- 6	 1- 5	 0- 0	    11809.38	Ej Spelad	0.10	0.10
 3- 6	 2- 0	 0- 0	    11116.17	Ej Spelad	0.10	0.10
 3- 6	 2- 1	 0- 0	     3547.72	Ej Spelad	0.10	0.10
 3- 6	 2- 2	 0- 0	     1839.01	Ej Spelad	0.10	0.10
 3- 6	 2- 3	 0- 0	     3039.18	Ej Spelad	0.10	0.10
 3- 6	 2- 4	 0- 0	     4154.05	Ej Spelad	0.10	0.10
 3- 6	 2- 5	 0- 0	     6215.46	Ej Spelad	0.10	0.10
 3- 6	 3- 0	 0- 0	     9474.01	Ej Spelad	0.10	0.10
 3- 6	 3- 1	 0- 0	     4189.51	Ej Spelad	0.10	0.10
 3- 6	 3- 2	 0- 0	     3218.97	Ej Spelad	0.10	0.10
 3- 6	 3- 3	 0- 0	     1379.26	Ej Spelad	0.10	0.10
 3- 6	 3- 4	 0- 0	     6123.38	Ej Spelad	0.10	0.10
 3- 6	 3- 5	 0- 0	     6946.69	Ej Spelad	0.10	0.10
 3- 6	 4- 2	 0- 0	     4210.67	Ej Spelad	0.10	0.10
 3- 6	 4- 3	 0- 0	     6833.71	Ej Spelad	0.10	0.10
 3- 6	 4- 4	 0- 0	     2758.52	Ej Spelad	0.10	0.10
 3- 6	 5- 1	 0- 0	    14130.73	Ej Spelad	0.10	0.10
 3- 6	 5- 2	 0- 0	     7005.99	Ej Spelad	0.10	0.10
 3- 6	 5- 3	 0- 0	     7443.87	Ej Spelad	0.10	0.10
 3- 6	 6- 3	 0- 0	    14130.73	Ej Spelad	0.10	0.10
 3- 7	 2- 1	 0- 0	    14634.33	Ej Spelad	0.10	0.10
 3- 7	 2- 2	 0- 0	     7585.92	Ej Spelad	0.10	0.10
 3- 7	 2- 3	 0- 0	    12536.61	Ej Spelad	0.10	0.10
 3- 7	 3- 2	 0- 0	    13278.25	Ej Spelad	0.10	0.10
 3- 7	 3- 3	 0- 0	     5689.44	Ej Spelad	0.10	0.10
 3- 7	 4- 4	 0- 0	    11378.88	Ej Spelad	0.10	0.10
 4- 0	 2- 5	 0- 0	     4354.89	 3.131	0.06	0.10
 4- 0	 2- 6	 0- 0	    10725.94	Ej Spelad	0.10	0.10
 4- 0	 3- 6	 0- 0	    10928.31	Ej Spelad	0.10	0.10
 4- 1	 0- 3	 0- 0	     2122.93	 4.282	0.12	0.10
 4- 1	 0- 4	 0- 0	     3873.41	Ej Spelad	0.10	0.10
 4- 1	 0- 5	 0- 0	     7359.48	Ej Spelad	0.10	0.10
 4- 1	 1- 3	 0- 0	     1115.07	 1.747	0.17	0.20
 4- 1	 1- 4	 0- 0	     1424.42	 3.829	0.18	0.20
