   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 2	 3- 1	 5- 6	   122653.15	Ej Spelad	1.00	 1
 2- 2	 3- 1	 6- 5	   211518.42	Ej Spelad	1.00	 1
 2- 2	 3- 1	 7- 5	   244059.73	Ej Spelad	1.00	 1
 2- 2	 3- 2	 5- 6	    94239.29	Ej Spelad	1.00	 1
 2- 2	 3- 2	 6- 5	   162518.02	Ej Spelad	1.00	 1
 2- 2	 3- 2	 7- 5	   187520.80	Ej Spelad	1.00	 1
 2- 2	 3- 3	 2- 2	     2208.53	 1.455	10.97	11
 2- 2	 3- 3	 3- 3	     1656.40	 1.940	20.90	21
 2- 2	 3- 3	 5- 6	    40379.46	Ej Spelad	1.00	 1
 2- 2	 3- 3	 5- 7	   129214.27	Ej Spelad	1.00	 1
 2- 2	 3- 3	 6- 5	    69635.39	Ej Spelad	1.00	 1
 2- 2	 3- 3	 6- 7	   215357.13	Ej Spelad	1.00	 1
 2- 2	 3- 3	 7- 5	    80348.53	Ej Spelad	1.00	 1
 2- 2	 3- 4	 5- 6	   179269.52	Ej Spelad	1.00	 1
 2- 2	 3- 5	 5- 6	   203372.97	Ej Spelad	1.00	 1
 2- 2	 4- 1	 5- 6	   155464.81	Ej Spelad	1.00	 1
 2- 2	 4- 2	 5- 6	   123272.60	Ej Spelad	1.00	 1
 2- 2	 4- 2	 6- 5	   212586.67	Ej Spelad	1.00	 1
 2- 2	 4- 2	 7- 5	   245292.33	Ej Spelad	1.00	 1
 2- 2	 4- 3	 5- 6	   200065.38	Ej Spelad	1.00	 1
 2- 2	 4- 4	 5- 6	    80758.92	Ej Spelad	1.00	 1
 2- 2	 4- 4	 6- 5	   139270.78	Ej Spelad	1.00	 1
 2- 2	 4- 4	 7- 5	   160697.06	Ej Spelad	1.00	 1
 2- 2	 5- 2	 5- 6	   205109.05	Ej Spelad	1.00	 1
 2- 2	 5- 3	 5- 6	   217928.36	Ej Spelad	1.00	 1
 2- 2	 5- 6	 1- 2	   212993.48	Ej Spelad	1.00	 1
 2- 2	 5- 6	 1- 3	   208857.69	Ej Spelad	1.00	 1
 2- 2	 5- 6	 1- 4	   226445.70	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 1	   140809.36	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 2	    73537.70	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 3	   193804.89	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 4	   224086.89	Ej Spelad	1.00	 1
 2- 2	 5- 6	 3- 1	   135330.39	Ej Spelad	1.00	 1
 2- 2	 5- 6	 3- 2	   111117.93	Ej Spelad	1.00	 1
 2- 2	 5- 6	 3- 3	    55153.27	Ej Spelad	1.00	 1
 2- 2	 5- 6	 4- 1	   150562.39	Ej Spelad	1.00	 1
 2- 2	 5- 6	 4- 2	   132243.00	Ej Spelad	1.00	 1
 2- 2	 5- 6	 4- 3	   201039.95	Ej Spelad	1.00	 1
 2- 2	 5- 6	 4- 4	   110306.55	Ej Spelad	1.00	 1
 2- 2	 5- 6	 5- 2	   189021.27	Ej Spelad	1.00	 1
 2- 2	 5- 7	 2- 2	   165459.81	Ej Spelad	1.00	 1
 2- 2	 5- 7	 3- 2	   250015.33	Ej Spelad	1.00	 1
 2- 2	 5- 7	 3- 3	   124094.86	Ej Spelad	1.00	 1
 2- 2	 5- 7	 4- 4	   248189.72	Ej Spelad	1.00	 1
 2- 3	 1- 2	 5- 6	   225761.91	Ej Spelad	1.00	 1
 2- 3	 2- 1	 5- 6	   216062.42	Ej Spelad	1.00	 1
 2- 3	 2- 2	 5- 6	   111999.11	Ej Spelad	1.00	 1
 2- 3	 2- 2	 6- 5	   193145.27	Ej Spelad	1.00	 1
 2- 3	 2- 2	 7- 5	   222859.94	Ej Spelad	1.00	 1
 2- 3	 2- 3	 5- 6	   185091.56	Ej Spelad	1.00	 1
 2- 3	 2- 4	 5- 6	   252989.48	Ej Spelad	1.00	 1
 2- 3	 3- 2	 5- 6	   196041.19	Ej Spelad	1.00	 1
 2- 3	 3- 3	 5- 6	    83999.34	Ej Spelad	1.00	 1
 2- 3	 3- 3	 6- 5	   144858.95	Ej Spelad	1.00	 1
 2- 3	 3- 3	 7- 5	   167144.95	Ej Spelad	1.00	 1
 2- 3	 4- 4	 5- 6	   167998.69	Ej Spelad	1.00	 1
 2- 3	 5- 6	 2- 2	   152976.72	Ej Spelad	1.00	 1
 2- 3	 5- 6	 3- 2	   231152.97	Ej Spelad	1.00	 1
 2- 3	 5- 6	 3- 3	   114732.55	Ej Spelad	1.00	 1
 2- 3	 5- 6	 4- 4	   229465.09	Ej Spelad	1.00	 1
 2- 4	 2- 2	 5- 6	   134209.91	Ej Spelad	1.00	 1
 2- 4	 2- 2	 6- 5	   231448.34	Ej Spelad	1.00	 1
 2- 4	 2- 3	 5- 6	   221797.48	Ej Spelad	1.00	 1
 2- 4	 3- 2	 5- 6	   234918.55	Ej Spelad	1.00	 1
 2- 4	 3- 3	 5- 6	   100657.43	Ej Spelad	1.00	 1
 2- 4	 3- 3	 6- 5	   173586.25	Ej Spelad	1.00	 1
 2- 4	 3- 3	 7- 5	   200291.84	Ej Spelad	1.00	 1
 2- 4	 4- 4	 5- 6	   201314.86	Ej Spelad	1.00	 1
 2- 4	 5- 6	 2- 2	   183313.86	Ej Spelad	1.00	 1
 2- 4	 5- 6	 3- 3	   137485.41	Ej Spelad	1.00	 1
 2- 5	 2- 2	 5- 6	   216379.23	Ej Spelad	1.00	 1
 2- 5	 3- 3	 5- 6	   162284.42	Ej Spelad	1.00	 1
 2- 5	 5- 6	 3- 3	   221660.16	Ej Spelad	1.00	 1
 3- 0	 2- 2	 5- 6	   192597.17	Ej Spelad	1.00	 1
 3- 0	 3- 3	 5- 6	   144447.88	Ej Spelad	1.00	 1
 3- 0	 3- 3	 6- 5	   249103.97	Ej Spelad	1.00	 1
 3- 0	 5- 6	 3- 3	   197297.67	Ej Spelad	1.00	 1
 3- 1	 1- 2	 5- 6	   243770.59	Ej Spelad	1.00	 1
 3- 1	 2- 1	 5- 6	   233297.39	Ej Spelad	1.00	 1
 3- 1	 2- 2	 5- 6	   120933.11	Ej Spelad	1.00	 1
 3- 1	 2- 2	 6- 5	   208552.17	Ej Spelad	1.00	 1
 3- 1	 2- 2	 7- 5	   240637.13	Ej Spelad	1.00	 1
 3- 1	 2- 3	 5- 6	   199856.03	Ej Spelad	1.00	 1
 3- 1	 3- 2	 5- 6	   211679.09	Ej Spelad	1.00	 1
 3- 1	 3- 3	 5- 6	    90699.84	Ej Spelad	1.00	 1
 3- 1	 3- 3	 6- 5	   156414.13	Ej Spelad	1.00	 1
 3- 1	 3- 3	 7- 5	   180477.84	Ej Spelad	1.00	 1
 3- 1	 4- 4	 5- 6	   181399.67	Ej Spelad	1.00	 1
 3- 1	 5- 6	 2- 2	   165179.44	Ej Spelad	1.00	 1
 3- 1	 5- 6	 3- 2	   249591.69	Ej Spelad	1.00	 1
 3- 1	 5- 6	 3- 3	   123884.59	Ej Spelad	1.00	 1
 3- 1	 5- 6	 4- 4	   247769.17	Ej Spelad	1.00	 1
 3- 2	 1- 2	 5- 6	   197776.13	Ej Spelad	1.00	 1
 3- 2	 1- 3	 5- 6	   222747.86	Ej Spelad	1.00	 1
 3- 2	 2- 1	 5- 6	   189279.00	Ej Spelad	1.00	 1
 3- 2	 2- 2	 5- 6	    98115.53	Ej Spelad	1.00	 1
 3- 2	 2- 2	 6- 5	   169202.69	Ej Spelad	1.00	 1
 3- 2	 2- 2	 7- 5	   195233.88	Ej Spelad	1.00	 1
 3- 2	 2- 3	 5- 6	   162147.33	Ej Spelad	1.00	 1
 3- 2	 2- 4	 5- 6	   221628.52	Ej Spelad	1.00	 1
 3- 2	 3- 1	 5- 6	   223520.44	Ej Spelad	1.00	 1
 3- 2	 3- 2	 5- 6	   171739.63	Ej Spelad	1.00	 1
 3- 2	 3- 3	 5- 6	    73586.65	Ej Spelad	1.00	 1
 3- 2	 3- 3	 5- 7	   235477.28	Ej Spelad	1.00	 1
 3- 2	 3- 3	 6- 5	   126902.02	Ej Spelad	1.00	 1
 3- 2	 3- 3	 7- 5	   146425.41	Ej Spelad	1.00	 1
 3- 2	 4- 2	 5- 6	   224649.30	Ej Spelad	1.00	 1
 3- 2	 4- 4	 5- 6	   147173.30	Ej Spelad	1.00	 1
 3- 2	 5- 6	 2- 2	   134013.50	Ej Spelad	1.00	 1
 3- 2	 5- 6	 3- 1	   246623.17	Ej Spelad	1.00	 1
 3- 2	 5- 6	 3- 2	   202498.91	Ej Spelad	1.00	 1
 3- 2	 5- 6	 3- 3	   100510.13	Ej Spelad	1.00	 1
 3- 2	 5- 6	 4- 2	   240996.78	Ej Spelad	1.00	 1
 3- 2	 5- 6	 4- 4	   201020.25	Ej Spelad	1.00	 1
 3- 2	 5- 7	 3- 3	   226147.77	Ej Spelad	1.00	 1
 3- 3	 0- 2	 5- 6	   232705.61	Ej Spelad	1.00	 1
 3- 3	 0- 3	 5- 6	   174529.20	Ej Spelad	1.00	 1
 3- 3	 1- 2	 5- 6	    81394.79	Ej Spelad	1.00	 1
 3- 3	 1- 2	 6- 5	   140367.34	Ej Spelad	1.00	 1
 3- 3	 1- 2	 7- 5	   161962.33	Ej Spelad	1.00	 1
 3- 3	 1- 3	 5- 6	    91671.91	Ej Spelad	1.00	 1
 3- 3	 1- 3	 6- 5	   158090.50	Ej Spelad	1.00	 1
 3- 3	 1- 3	 7- 5	   182412.13	Ej Spelad	1.00	 1
 3- 3	 1- 4	 5- 6	   117103.47	Ej Spelad	1.00	 1
 3- 3	 1- 4	 6- 5	   201947.86	Ej Spelad	1.00	 1
 3- 3	 1- 4	 7- 5	   233016.77	Ej Spelad	1.00	 1
 3- 3	 1-10	 3- 3	   248189.75	Ej Spelad	1.00	 1
 3- 3	 2- 0	 5- 6	   244079.77	Ej Spelad	1.00	 1
 3- 3	 2- 1	 5- 6	    77897.80	Ej Spelad	1.00	 1
 3- 3	 2- 1	 5- 7	   249272.95	Ej Spelad	1.00	 1
 3- 3	 2- 1	 6- 5	   134336.70	Ej Spelad	1.00	 1
 3- 3	 2- 1	 7- 5	   155003.89	Ej Spelad	1.00	 1
 3- 3	 2- 2	 3- 3	     1656.40	 1.940	20.90	21
 3- 3	 2- 2	 5- 6	    40379.46	Ej Spelad	1.00	 1
 3- 3	 2- 2	 5- 7	   129214.27	Ej Spelad	1.00	 1
 3- 3	 2- 2	 6- 5	    69635.39	Ej Spelad	1.00	 1
 3- 3	 2- 2	 6- 7	   215357.13	Ej Spelad	1.00	 1
 3- 3	 2- 2	 7- 5	    80348.53	Ej Spelad	1.00	 1
 3- 3	 2- 3	 5- 6	    66731.76	Ej Spelad	1.00	 1
 3- 3	 2- 3	 5- 7	   213541.63	Ej Spelad	1.00	 1
 3- 3	 2- 3	 6- 5	   115080.59	Ej Spelad	1.00	 1
 3- 3	 2- 3	 7- 5	   132785.30	Ej Spelad	1.00	 1
 3- 3	 2- 4	 5- 6	    91211.25	Ej Spelad	1.00	 1
 3- 3	 2- 4	 6- 5	   157296.08	Ej Spelad	1.00	 1
 3- 3	 2- 4	 7- 5	   181495.48	Ej Spelad	1.00	 1
 3- 3	 2- 5	 5- 6	   136473.97	Ej Spelad	1.00	 1
 3- 3	 2- 5	 6- 5	   235352.77	Ej Spelad	1.00	 1
 3- 3	 3- 0	 5- 6	   208022.53	Ej Spelad	1.00	 1
 3- 3	 3- 1	 5- 6	    91989.87	Ej Spelad	1.00	 1
 3- 3	 3- 1	 6- 5	   158638.81	Ej Spelad	1.00	 1
 3- 3	 3- 1	 7- 5	   183044.80	Ej Spelad	1.00	 1
 3- 3	 3- 2	 5- 6	    70679.47	Ej Spelad	1.00	 1
 3- 3	 3- 2	 5- 7	   226174.28	Ej Spelad	1.00	 1
 3- 3	 3- 2	 6- 5	   121888.51	Ej Spelad	1.00	 1
 3- 3	 3- 2	 7- 5	   140640.59	Ej Spelad	1.00	 1
 3- 3	 3- 3	 2- 2	     1656.40	 1.940	20.90	21
 3- 3	 3- 3	 3-10	   242276.78	Ej Spelad	1.00	 1
 3- 3	 3- 3	 5- 6	    30284.60	Ej Spelad	1.00	 1
 3- 3	 3- 3	 5- 7	    96910.71	Ej Spelad	1.00	 1
 3- 3	 3- 3	 6- 5	    52226.54	Ej Spelad	1.00	 1
 3- 3	 3- 3	 6- 7	   161517.84	Ej Spelad	1.00	 1
 3- 3	 3- 3	 6- 8	   242276.78	Ej Spelad	1.00	 1
 3- 3	 3- 3	 6- 9	   242276.78	Ej Spelad	1.00	 1
 3- 3	 3- 3	 7- 5	    60261.40	Ej Spelad	1.00	 1
 3- 3	 3- 3	 8- 6	   195849.55	Ej Spelad	1.00	 1
 3- 3	 3- 4	 5- 6	   134452.14	Ej Spelad	1.00	 1
 3- 3	 3- 4	 6- 5	   231866.06	Ej Spelad	1.00	 1
 3- 3	 3- 5	 5- 6	   152529.73	Ej Spelad	1.00	 1
 3- 3	 4- 1	 5- 6	   116598.62	Ej Spelad	1.00	 1
 3- 3	 4- 1	 6- 5	   201077.22	Ej Spelad	1.00	 1
 3- 3	 4- 1	 7- 5	   232012.20	Ej Spelad	1.00	 1
 3- 3	 4- 2	 5- 6	    92454.45	Ej Spelad	1.00	 1
 3- 3	 4- 2	 6- 5	   159440.02	Ej Spelad	1.00	 1
 3- 3	 4- 2	 7- 5	   183969.25	Ej Spelad	1.00	 1
 3- 3	 4- 3	 5- 6	   150049.03	Ej Spelad	1.00	 1
 3- 3	 4- 4	 5- 6	    60569.20	Ej Spelad	1.00	 1
 3- 3	 4- 4	 5- 7	   193821.42	Ej Spelad	1.00	 1
 3- 3	 4- 4	 6- 5	   104453.09	Ej Spelad	1.00	 1
 3- 3	 4- 4	 7- 5	   120522.80	Ej Spelad	1.00	 1
 3- 3	 5- 2	 5- 6	   153831.80	Ej Spelad	1.00	 1
 3- 3	 5- 3	 5- 6	   163446.27	Ej Spelad	1.00	 1
 3- 3	 5- 6	 1- 2	   159745.11	Ej Spelad	1.00	 1
 3- 3	 5- 6	 1- 3	   156643.27	Ej Spelad	1.00	 1
 3- 3	 5- 6	 1- 4	   169834.28	Ej Spelad	1.00	 1
 3- 3	 5- 6	 2- 1	   105607.02	Ej Spelad	1.00	 1
 3- 3	 5- 6	 2- 2	    55153.27	Ej Spelad	1.00	 1
 3- 3	 5- 6	 2- 3	   145353.67	Ej Spelad	1.00	 1
 3- 3	 5- 6	 2- 4	   168065.17	Ej Spelad	1.00	 1
 3- 3	 5- 6	 2- 5	   227243.06	Ej Spelad	1.00	 1
 3- 3	 5- 6	 3- 0	   193221.72	Ej Spelad	1.00	 1
 3- 3	 5- 6	 3- 1	   101497.80	Ej Spelad	1.00	 1
 3- 3	 5- 6	 3- 2	    83338.45	Ej Spelad	1.00	 1
 3- 3	 5- 6	 3- 3	    41364.96	Ej Spelad	1.00	 1
 3- 3	 5- 6	 3- 4	   209535.80	Ej Spelad	1.00	 1
 3- 3	 5- 6	 3- 5	   233829.81	Ej Spelad	1.00	 1
 3- 3	 5- 6	 4- 1	   112921.79	Ej Spelad	1.00	 1
 3- 3	 5- 6	 4- 2	    99182.26	Ej Spelad	1.00	 1
 3- 3	 5- 6	 4- 3	   150779.95	Ej Spelad	1.00	 1
 3- 3	 5- 6	 4- 4	    82729.91	Ej Spelad	1.00	 1
 3- 3	 5- 6	 5- 1	   210362.36	Ej Spelad	1.00	 1
 3- 3	 5- 6	 5- 2	   141765.94	Ej Spelad	1.00	 1
 3- 3	 5- 6	 5- 3	   190400.97	Ej Spelad	1.00	 1
 3- 3	 5- 7	 2- 1	   237615.80	Ej Spelad	1.00	 1
 3- 3	 5- 7	 2- 2	   124094.86	Ej Spelad	1.00	 1
