MatchOdds 220 260 245 235 260 230 190 275 280 260 245 1068289229
Oms 2500
MinKvot 1.350000
MinIns 0.050000
MaxNomOdds 1000000
4-0 4-5 0-0 0-0	    13690.26	    0.073045	1	  0.10	-1610612736
2-6 4-5 0-0 0-0	    13682.08	    0.073088	1	  0.10	-1610612736
6-4 0-1 0-0 0-0	    13644.63	    0.073289	1	  0.10	-1610612736
4-2 1-7 0-0 0-0	    13644.63	    0.073289	1	  0.10	-1610612736
2-0 5-4 0-0 0-0	    13576.27	    0.073658	1	  0.10	-1610612736
2-0 5-1 0-0 0-0	    13576.27	    0.073658	1	  0.10	-1610612736
4-5 2-6 0-0 0-0	    13564.13	    0.073724	1	  0.10	-1610612736
3-5 0-5 0-0 0-0	    13564.13	    0.073724	1	  0.10	-1610612736
1-6 3-5 0-0 0-0	    13564.13	    0.073724	1	  0.10	-1610612736
4-5 0-2 0-0 0-0	    13564.13	    0.073724	1	  0.10	-1610612736
4-5 1-5 0-0 0-0	    13564.13	    0.073724	1	  0.10	-1610612736
5-0 5-3 0-0 0-0	    13509.72	    0.074021	1	  0.10	-1610612736
2-2 5-8 0-0 0-0	    13492.44	    0.074116	1	  0.10	-1610612736
1-6 4-3 0-0 0-0	    13466.44	    0.074259	1	  0.10	-1610612736
6-2 1-5 0-0 0-0	    13442.98	    0.074388	1	  0.10	-1610612736
6-2 0-2 0-0 0-0	    13442.98	    0.074388	1	  0.10	-1610612736
6-2 2-6 0-0 0-0	    13442.98	    0.074388	1	  0.10	-1610612736
3-0 2-7 0-0 0-0	    13398.98	    0.074633	1	  0.10	-1610612736
5-1 0-4 0-0 0-0	    13377.08	    0.074755	1	  0.10	-1610612736
7-3 3-4 0-0 0-0	    13377.08	    0.074755	1	  0.10	-1610612736
4-6 5-3 0-0 0-0	    13353.27	    0.074888	1	  0.10	-1610612736
3-2 8-2 0-0 0-0	    13249.92	    0.075472	1	  0.10	-1610612736
3-2 7-4 0-0 0-0	    13249.92	    0.075472	1	  0.10	-1610612736
4-0 1-0 0-0 0-0	    13249.92	    0.075472	1	  0.10	-1610612736
6-4 6-2 0-0 0-0	    13249.92	    0.075472	1	  0.10	-1610612736
7-1 2-3 0-0 0-0	    13247.21	    0.075488	1	  0.10	-1610612736
2-6 1-0 0-0 0-0	    13242.00	    0.075517	1	  0.10	-1610612736
3-4 6-4 0-0 0-0	    13242.00	    0.075517	1	  0.10	-1610612736
5-3 6-1 0-0 0-0	    13186.52	    0.075835	1	  0.10	-1610612736
5-4 4-5 0-0 0-0	    13183.21	    0.075854	1	  0.10	-1610612736
5-2 6-4 0-0 0-0	    13123.73	    0.076198	1	  0.10	-1610612736
3-2 1-7 0-0 0-0	    13119.83	    0.076220	1	  0.10	-1610612736
1-6 1-4 0-0 0-0	    13111.99	    0.076266	1	  0.10	-1610612736
1-6 2-5 0-0 0-0	    13111.99	    0.076266	1	  0.10	-1610612736
1-0 0-1 0-0 0-0	    13098.84	    0.076343	1	  0.10	-1610612736
3-7 2-1 0-0 0-0	    13096.48	    0.076356	1	  0.10	-1610612736
2-8 2-3 0-0 0-0	    13093.80	    0.076372	1	  0.10	-1610612736
5-6 2-3 0-0 0-0	    13093.80	    0.076372	1	  0.10	-1610612736
5-3 4-6 0-0 0-0	    13057.06	    0.076587	1	  0.10	-1610612736
5-3 4-7 0-0 0-0	    13057.06	    0.076587	1	  0.10	-1610612736
7-1 3-2 0-0 0-0	    12999.92	    0.076924	1	  0.10	-1610612736
6-5 2-1 0-0 0-0	    12979.51	    0.077045	1	  0.10	-1610612736
7-5 2-1 0-0 0-0	    12979.51	    0.077045	1	  0.10	-1610612736
2-0 6-3 0-0 0-0	    12959.17	    0.077165	1	  0.10	-1610612736
0-3 0-4 0-0 0-0	    12914.68	    0.077431	1	  0.10	-1610612736
2-8 3-2 0-0 0-0	    12849.38	    0.077825	1	  0.10	-1610612736
5-6 3-2 0-0 0-0	    12849.38	    0.077825	1	  0.10	-1610612736
2-0 3-6 0-0 0-0	    12831.94	    0.077931	1	  0.10	-1610612736
7-2 3-5 0-0 0-0	    12831.94	    0.077931	1	  0.10	-1610612736
4-5 2-0 0-0 0-0	    12814.83	    0.078035	1	  0.10	-1610612736
1-6 4-1 0-0 0-0	    12814.83	    0.078035	1	  0.10	-1610612736
5-0 5-2 0-0 0-0	    12759.18	    0.078375	1	  0.10	-1610612736
5-4 1-0 0-0 0-0	    12759.18	    0.078375	1	  0.10	-1610612736
3-1 6-5 0-0 0-0	    12759.18	    0.078375	1	  0.10	-1610612736
7-2 4-3 0-0 0-0	    12739.52	    0.078496	1	  0.10	-1610612736
1-0 6-2 0-0 0-0	    12719.92	    0.078617	1	  0.10	-1610612736
6-2 2-0 0-0 0-0	    12700.38	    0.078738	1	  0.10	-1610612736
3-1 2-8 0-0 0-0	    12633.91	    0.079152	1	  0.10	-1610612736
3-1 3-7 0-0 0-0	    12633.91	    0.079152	1	  0.10	-1610612736
3-1 5-6 0-0 0-0	    12633.91	    0.079152	1	  0.10	-1610612736
