   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 1- 0	 2- 2	     2115.75	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 3	     2614.72	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 4	    37421.43	Ej Spelad	1.00	 1
 0- 0	 1- 0	 2- 5	   126922.44	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 0	     1820.64	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 1	     2082.57	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 2	     5581.39	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 3	    22660.06	Ej Spelad	1.00	 1
 0- 0	 1- 0	 3- 4	    35314.27	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 0	    10515.31	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 1	    11223.67	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 2	    21178.52	Ej Spelad	1.00	 1
 0- 0	 1- 0	 4- 3	    75221.77	Ej Spelad	1.00	 1
 0- 0	 1- 0	 5- 0	    84112.23	Ej Spelad	1.00	 1
 0- 0	 1- 0	 5- 1	    76576.33	Ej Spelad	1.00	 1
 0- 0	 1- 0	 5- 2	   158068.41	Ej Spelad	1.00	 1
 0- 0	 1- 0	 5- 3	   303307.16	Ej Spelad	1.00	 1
 0- 0	 1- 0	 6- 0	   309104.69	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 1	      405.49	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 2	      885.98	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 3	     2497.81	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 4	    18710.61	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 5	   123515.18	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 0	      384.67	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 1	      290.27	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 2	     1208.20	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 3	     3255.32	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 4	    12600.68	Ej Spelad	1.00	 1
 0- 0	 1- 1	 1- 5	    78440.59	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 0	      869.00	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 1	     1057.55	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	      870.71	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 3	     9354.13	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 4	    25371.50	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 5	   140182.20	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	     2081.46	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	     2791.39	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	     7555.95	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 3	     8812.66	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 4	   154219.78	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 0	    11217.60	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 1	    10589.28	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 2	    25023.34	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 3	   123758.81	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 0	    76468.66	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 1	    78796.94	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 2	   100909.39	Ej Spelad	1.00	 1
 0- 0	 1- 1	 5- 3	   320870.94	Ej Spelad	1.00	 1
 0- 0	 1- 1	 6- 1	   389365.84	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	      810.23	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	      886.54	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	     1664.85	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 3	     9357.14	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 4	    49371.35	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 5	   330882.16	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	      580.26	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	     1207.08	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	     2171.11	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 3	     6297.59	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 4	    31402.79	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 5	   198482.73	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	     2115.10	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	      871.47	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	     6241.35	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 3	    12690.60	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 4	    56165.46	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 0	     5583.78	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 1	     7555.06	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 2	     5881.61	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 3	    77247.23	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 4	   252175.58	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 0	    21178.63	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 1	    25013.45	Ej Spelad	1.00	 1
 0- 0	 1- 2	 4- 2	    82612.08	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 0	   157740.92	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 1	   101043.95	Ej Spelad	1.00	 1
 0- 0	 1- 2	 5- 2	   213888.22	Ej Spelad	1.00	 1
 0- 0	 1- 3	 0- 0	     2658.02	Ej Spelad	1.00	 1
 0- 0	 1- 3	 0- 1	     2497.12	Ej Spelad	1.00	 1
 0- 0	 1- 3	 0- 2	     9349.98	Ej Spelad	1.00	 1
 0- 0	 1- 3	 0- 3	    37030.89	Ej Spelad	1.00	 1
 0- 0	 1- 3	 0- 4	   198438.63	Ej Spelad	1.00	 1
 0- 0	 1- 3	 0- 5	   372233.75	Ej Spelad	1.00	 1
 0- 0	 1- 3	 1- 0	     3622.77	Ej Spelad	1.00	 1
 0- 0	 1- 3	 1- 1	     3257.19	Ej Spelad	1.00	 1
 0- 0	 1- 3	 1- 2	     6299.78	Ej Spelad	1.00	 1
 0- 0	 1- 3	 1- 3	    23536.52	Ej Spelad	1.00	 1
 0- 0	 1- 3	 1- 4	   118939.97	Ej Spelad	1.00	 1
 0- 0	 1- 3	 2- 0	     2609.55	Ej Spelad	1.00	 1
 0- 0	 1- 3	 2- 1	     9353.64	Ej Spelad	1.00	 1
 0- 0	 1- 3	 2- 2	    12684.49	Ej Spelad	1.00	 1
 0- 0	 1- 3	 2- 3	    42093.32	Ej Spelad	1.00	 1
 0- 0	 1- 3	 2- 4	   297779.78	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 0	    22691.66	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 1	     8819.29	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 2	    77169.46	Ej Spelad	1.00	 1
 0- 0	 1- 3	 3- 3	   189557.89	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 0	    74974.91	Ej Spelad	1.00	 1
 0- 0	 1- 3	 4- 1	   123732.66	Ej Spelad	1.00	 1
 0- 0	 1- 3	 5- 0	   302921.88	Ej Spelad	1.00	 1
 0- 0	 1- 3	 5- 1	   320848.06	Ej Spelad	1.00	 1
 0- 0	 1- 4	 0- 0	     9991.16	Ej Spelad	1.00	 1
 0- 0	 1- 4	 0- 1	    18710.93	Ej Spelad	1.00	 1
 0- 0	 1- 4	 0- 2	    49381.88	Ej Spelad	1.00	 1
 0- 0	 1- 4	 0- 3	   198514.80	Ej Spelad	1.00	 1
 0- 0	 1- 4	 0- 4	   297630.78	Ej Spelad	1.00	 1
 0- 0	 1- 4	 1- 0	    13011.07	Ej Spelad	1.00	 1
 0- 0	 1- 4	 1- 1	    12593.37	Ej Spelad	1.00	 1
 0- 0	 1- 4	 1- 2	    31402.56	Ej Spelad	1.00	 1
 0- 0	 1- 4	 1- 3	   119160.03	Ej Spelad	1.00	 1
 0- 0	 1- 4	 1- 4	   357297.75	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 0	    37486.46	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 1	    25361.62	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 2	    56114.76	Ej Spelad	1.00	 1
 0- 0	 1- 4	 2- 3	   297943.91	Ej Spelad	1.00	 1
 0- 0	 1- 4	 3- 0	    35308.01	Ej Spelad	1.00	 1
 0- 0	 1- 4	 3- 1	   154557.06	Ej Spelad	1.00	 1
 0- 0	 1- 4	 3- 2	   252874.13	Ej Spelad	1.00	 1
 0- 0	 1- 5	 0- 0	    93489.37	Ej Spelad	1.00	 1
 0- 0	 1- 5	 0- 1	   123436.59	Ej Spelad	1.00	 1
 0- 0	 1- 5	 0- 2	   330490.91	Ej Spelad	1.00	 1
 0- 0	 1- 5	 0- 3	   371980.94	Ej Spelad	1.00	 1
 0- 0	 1- 5	 1- 0	    63059.46	Ej Spelad	1.00	 1
 0- 0	 1- 5	 1- 1	    78386.09	Ej Spelad	1.00	 1
 0- 0	 1- 5	 1- 2	   198231.17	Ej Spelad	1.00	 1
 0- 0	 1- 5	 2- 0	   126819.20	Ej Spelad	1.00	 1
 0- 0	 1- 5	 2- 1	   140282.89	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 0	      819.64	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 1	      769.43	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 2	     1159.82	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 3	     7235.90	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 4	    26039.02	Ej Spelad	1.00	 1
 0- 0	 2- 0	 0- 5	   126012.41	Ej Spelad	1.00	 1
 0- 0	 2- 0	 1- 0	      461.33	Ej Spelad	1.00	 1
 0- 0	 2- 0	 1- 1	      869.61	Ej Spelad	1.00	 1
 0- 0	 2- 0	 1- 2	     2116.12	Ej Spelad	1.00	 1
 0- 0	 2- 0	 1- 3	     2612.52	Ej Spelad	1.00	 1
