   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 2	 0- 0	 2- 3	    12598.08	 1.951	4.84	 5
 0- 2	 0- 0	 3- 0	     6352.61	11.608	9.79	10
 0- 2	 0- 0	 3- 1	     2613.78	14.106	22.42	22
 0- 2	 0- 0	 3- 2	    18698.84	 3.944	4.01	 4
 0- 2	 0- 0	 3- 3	    38027.40	 1.939	1.60	 2
 0- 2	 0- 0	 4- 0	    22356.91	 3.298	3.32	 3
 0- 2	 0- 0	 4- 1	    30208.69	 2.441	2.29	 2
 0- 2	 0- 0	 4- 2	    23464.29	 3.143	3.14	 3
 0- 2	 0- 1	 0- 0	      692.96	 4.627	107.70	108
 0- 2	 0- 1	 0- 1	      907.25	 3.251	81.68	82
 0- 2	 0- 1	 0- 2	     1491.06	 2.150	43.64	44
 0- 2	 0- 1	 0- 4	    44110.60	 1.672	1.19	 1
 0- 2	 0- 1	 1- 0	      885.96	 3.619	84.43	84
 0- 2	 0- 1	 1- 1	      832.48	 3.281	89.11	89
 0- 2	 0- 1	 2- 0	     2415.79	 2.035	26.03	26
 0- 2	 0- 1	 2- 1	     2171.86	 1.787	26.03	26
 0- 2	 0- 1	 3- 0	     2610.42	 9.416	25.25	25
 0- 2	 0- 1	 3- 1	     9354.27	 2.628	7.58	 8
 0- 2	 0- 1	 4- 1	    11749.00	 6.276	6.12	 6
 0- 2	 0- 2	 0- 0	     1814.38	 2.139	35.75	36
 0- 2	 0- 2	 0- 1	     1491.02	 2.248	44.69	45
 0- 2	 0- 2	 1- 0	     1664.72	 2.215	39.72	40
 0- 2	 0- 2	 3- 0	    18681.46	 3.947	4.01	 4
 0- 2	 0- 2	 3- 1	    12696.06	 5.808	5.74	 6
 0- 2	 0- 2	 4- 0	    23497.81	 3.138	3.14	 3
 0- 2	 0- 3	 0- 0	     4473.02	 4.122	16.76	17
 0- 2	 0- 3	 0- 1	     7347.91	 2.007	8.48	 8
 0- 2	 0- 3	 1- 0	     9353.53	 1.971	6.57	 7
 0- 2	 0- 3	 2- 0	    12594.37	 2.928	5.79	 6
 0- 2	 0- 3	 3- 0	    38113.98	 1.935	1.59	 2
 0- 2	 0- 4	 0- 0	    29390.17	 2.509	2.38	 2
 0- 2	 0- 4	 0- 1	    44086.01	 1.673	1.19	 1
 0- 2	 1- 0	 0- 0	      810.24	Ej Spelad	1.00	 1
 0- 2	 1- 0	 0- 1	      886.29	Ej Spelad	1.00	 1
 0- 2	 1- 0	 0- 2	     1665.03	Ej Spelad	1.00	 1
 0- 2	 1- 0	 0- 3	     9355.15	Ej Spelad	1.00	 1
 0- 2	 1- 0	 0- 4	    49387.35	Ej Spelad	1.00	 1
 0- 2	 1- 0	 0- 5	   330960.19	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 0	      580.50	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 1	     1207.77	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 2	     2170.43	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 3	     6300.15	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 4	    31389.45	Ej Spelad	1.00	 1
 0- 2	 1- 0	 1- 5	   198646.16	Ej Spelad	1.00	 1
 0- 2	 1- 0	 2- 0	     2115.70	Ej Spelad	1.00	 1
 0- 2	 1- 0	 2- 1	      870.96	Ej Spelad	1.00	 1
 0- 2	 1- 0	 2- 2	     6238.03	Ej Spelad	1.00	 1
 0- 2	 1- 0	 2- 3	    12685.09	Ej Spelad	1.00	 1
 0- 2	 1- 0	 2- 4	    56110.41	Ej Spelad	1.00	 1
 0- 2	 1- 0	 3- 0	     5583.44	Ej Spelad	1.00	 1
 0- 2	 1- 0	 3- 1	     7553.90	Ej Spelad	1.00	 1
 0- 2	 1- 0	 3- 2	     5879.59	Ej Spelad	1.00	 1
 0- 2	 1- 0	 3- 3	    77160.70	Ej Spelad	1.00	 1
 0- 2	 1- 0	 3- 4	   253175.03	Ej Spelad	1.00	 1
 0- 2	 1- 0	 4- 0	    21204.90	Ej Spelad	1.00	 1
 0- 2	 1- 0	 4- 1	    25059.72	Ej Spelad	1.00	 1
 0- 2	 1- 0	 4- 2	    82665.05	Ej Spelad	1.00	 1
 0- 2	 1- 0	 5- 0	   157283.28	Ej Spelad	1.00	 1
 0- 2	 1- 0	 5- 1	   100786.30	Ej Spelad	1.00	 1
 0- 2	 1- 0	 5- 2	   214653.86	Ej Spelad	1.00	 1
 0- 2	 1- 1	 0- 0	      885.86	Ej Spelad	1.00	 1
 0- 2	 1- 1	 0- 1	      832.25	Ej Spelad	1.00	 1
 0- 2	 1- 1	 0- 2	     3118.22	Ej Spelad	1.00	 1
 0- 2	 1- 1	 0- 3	    12346.27	Ej Spelad	1.00	 1
 0- 2	 1- 1	 0- 4	    66152.09	Ej Spelad	1.00	 1
 0- 2	 1- 1	 0- 5	   123964.12	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 0	     1207.79	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 1	     1085.06	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 2	     2099.67	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 3	     7845.60	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 4	    39666.30	Ej Spelad	1.00	 1
 0- 2	 1- 1	 1- 5	   148721.97	Ej Spelad	1.00	 1
 0- 2	 1- 1	 2- 0	      870.70	Ej Spelad	1.00	 1
 0- 2	 1- 1	 2- 1	     3118.74	Ej Spelad	1.00	 1
 0- 2	 1- 1	 2- 2	     4227.42	Ej Spelad	1.00	 1
 0- 2	 1- 1	 2- 3	    14029.16	Ej Spelad	1.00	 1
 0- 2	 1- 1	 2- 4	    99296.28	Ej Spelad	1.00	 1
 0- 2	 1- 1	 3- 0	     7552.78	Ej Spelad	1.00	 1
 0- 2	 1- 1	 3- 1	     2938.87	Ej Spelad	1.00	 1
 0- 2	 1- 1	 3- 2	    25718.84	Ej Spelad	1.00	 1
 0- 2	 1- 1	 3- 3	    63162.28	Ej Spelad	1.00	 1
 0- 2	 1- 1	 3- 4	   357320.97	Ej Spelad	1.00	 1
 0- 2	 1- 1	 4- 0	    25006.93	Ej Spelad	1.00	 1
 0- 2	 1- 1	 4- 1	    41334.14	Ej Spelad	1.00	 1
 0- 2	 1- 1	 5- 0	   100876.63	Ej Spelad	1.00	 1
 0- 2	 1- 1	 5- 1	   107144.41	Ej Spelad	1.00	 1
 0- 2	 1- 2	 0- 0	     1664.57	Ej Spelad	1.00	 1
 0- 2	 1- 2	 0- 1	     3118.31	Ej Spelad	1.00	 1
 0- 2	 1- 2	 0- 2	     8233.15	Ej Spelad	1.00	 1
 0- 2	 1- 2	 0- 3	    33064.02	Ej Spelad	1.00	 1
 0- 2	 1- 2	 0- 4	    49608.38	Ej Spelad	1.00	 1
 0- 2	 1- 2	 1- 0	     2170.59	Ej Spelad	1.00	 1
 0- 2	 1- 2	 1- 1	     2099.69	Ej Spelad	1.00	 1
 0- 2	 1- 2	 1- 2	     5231.42	Ej Spelad	1.00	 1
 0- 2	 1- 2	 1- 3	    19839.34	Ej Spelad	1.00	 1
 0- 2	 1- 2	 1- 4	    59546.06	Ej Spelad	1.00	 1
 0- 2	 1- 2	 2- 0	     6241.88	Ej Spelad	1.00	 1
 0- 2	 1- 2	 2- 1	     4228.69	Ej Spelad	1.00	 1
 0- 2	 1- 2	 2- 2	     9349.63	Ej Spelad	1.00	 1
 0- 2	 1- 2	 2- 3	    49641.35	Ej Spelad	1.00	 1
 0- 2	 1- 2	 2- 4	   297681.88	Ej Spelad	1.00	 1
 0- 2	 1- 2	 3- 0	     5882.73	Ej Spelad	1.00	 1
 0- 2	 1- 2	 3- 1	    25719.54	Ej Spelad	1.00	 1
 0- 2	 1- 2	 3- 2	    42095.06	Ej Spelad	1.00	 1
 0- 2	 1- 2	 3- 3	   178411.59	Ej Spelad	1.00	 1
 0- 2	 1- 2	 4- 0	    82549.16	Ej Spelad	1.00	 1
 0- 2	 1- 2	 4- 2	   277846.69	Ej Spelad	1.00	 1
 0- 2	 1- 2	 5- 0	   214279.47	Ej Spelad	1.00	 1
 0- 2	 1- 3	 0- 0	     9352.04	Ej Spelad	1.00	 1
 0- 2	 1- 3	 0- 1	    12346.47	Ej Spelad	1.00	 1
 0- 2	 1- 3	 0- 2	    33067.39	Ej Spelad	1.00	 1
 0- 2	 1- 3	 0- 3	    37212.01	Ej Spelad	1.00	 1
 0- 2	 1- 3	 1- 0	     6302.39	Ej Spelad	1.00	 1
 0- 2	 1- 3	 1- 1	     7843.74	Ej Spelad	1.00	 1
 0- 2	 1- 3	 1- 2	    19836.46	Ej Spelad	1.00	 1
 0- 2	 1- 3	 1- 3	    44663.16	Ej Spelad	1.00	 1
 0- 2	 1- 3	 2- 0	    12674.87	Ej Spelad	1.00	 1
 0- 2	 1- 3	 2- 1	    14019.73	Ej Spelad	1.00	 1
 0- 2	 1- 3	 2- 2	    49643.27	Ej Spelad	1.00	 1
 0- 2	 1- 3	 2- 3	   223380.88	Ej Spelad	1.00	 1
 0- 2	 1- 3	 3- 0	    77234.30	Ej Spelad	1.00	 1
 0- 2	 1- 3	 3- 1	    63155.32	Ej Spelad	1.00	 1
 0- 2	 1- 3	 3- 2	   178662.72	Ej Spelad	1.00	 1
 0- 2	 1- 4	 0- 0	    49359.22	Ej Spelad	1.00	 1
 0- 2	 1- 4	 0- 1	    66107.85	Ej Spelad	1.00	 1
 0- 2	 1- 4	 0- 2	    49590.15	Ej Spelad	1.00	 1
 0- 2	 1- 4	 1- 0	    31384.25	Ej Spelad	1.00	 1
 0- 2	 1- 4	 1- 1	    39681.92	Ej Spelad	1.00	 1
 0- 2	 1- 4	 1- 2	    59504.57	Ej Spelad	1.00	 1
 0- 2	 1- 4	 2- 0	    56059.17	Ej Spelad	1.00	 1
 0- 2	 1- 4	 2- 1	    99191.63	Ej Spelad	1.00	 1
 0- 2	 1- 4	 2- 2	   297611.88	Ej Spelad	1.00	 1
 0- 2	 1- 4	 3- 0	   252468.34	Ej Spelad	1.00	 1
 0- 2	 1- 4	 3- 1	   357212.91	Ej Spelad	1.00	 1
 0- 2	 1- 5	 0- 0	   330619.34	Ej Spelad	1.00	 1
 0- 2	 1- 5	 0- 1	   123979.07	Ej Spelad	1.00	 1
 0- 2	 1- 5	 1- 0	   198539.14	Ej Spelad	1.00	 1
 0- 2	 1- 5	 1- 1	   148801.33	Ej Spelad	1.00	 1
 0- 2	 2- 0	 0- 0	     1160.06	Ej Spelad	1.00	 1
 0- 2	 2- 0	 0- 1	     2414.17	Ej Spelad	1.00	 1
 0- 2	 2- 0	 0- 2	     4342.66	Ej Spelad	1.00	 1
 0- 2	 2- 0	 0- 3	    12605.03	Ej Spelad	1.00	 1
 0- 2	 2- 0	 0- 4	    62762.86	Ej Spelad	1.00	 1
 0- 2	 2- 0	 0- 5	   396583.03	Ej Spelad	1.00	 1
 0- 2	 2- 0	 1- 0	     2116.12	Ej Spelad	1.00	 1
 0- 2	 2- 0	 1- 1	      870.17	Ej Spelad	1.00	 1
 0- 2	 2- 0	 1- 2	     6234.83	Ej Spelad	1.00	 1
 0- 2	 2- 0	 1- 3	    12689.18	Ej Spelad	1.00	 1
 0- 2	 2- 0	 1- 4	    56183.76	Ej Spelad	1.00	 1
 0- 2	 2- 0	 2- 0	     3719.03	Ej Spelad	1.00	 1
 0- 2	 2- 0	 2- 1	     5035.29	Ej Spelad	1.00	 1
 0- 2	 2- 0	 2- 2	     3920.29	Ej Spelad	1.00	 1
 0- 2	 2- 0	 2- 3	    51486.98	Ej Spelad	1.00	 1
 0- 2	 2- 0	 2- 4	   168195.02	Ej Spelad	1.00	 1
 0- 2	 2- 0	 3- 0	    10589.11	Ej Spelad	1.00	 1
 0- 2	 2- 0	 3- 1	    12510.01	Ej Spelad	1.00	 1
 0- 2	 2- 0	 3- 2	    41237.45	Ej Spelad	1.00	 1
 0- 2	 2- 0	 4- 0	    63106.34	Ej Spelad	1.00	 1
 0- 2	 2- 0	 4- 1	    40345.82	Ej Spelad	1.00	 1
 0- 2	 2- 0	 4- 2	    85595.18	Ej Spelad	1.00	 1
 0- 2	 2- 0	 5- 0	   259521.64	Ej Spelad	1.00	 1
 0- 2	 2- 0	 5- 1	   323562.56	Ej Spelad	1.00	 1
 0- 2	 2- 0	 5- 2	   325047.97	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 0	     2415.39	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 1	     2169.65	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 2	     4197.88	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 3	    15692.70	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 4	    79416.93	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 5	   297737.19	Ej Spelad	1.00	 1
 0- 2	 2- 1	 1- 0	      870.14	Ej Spelad	1.00	 1
 0- 2	 2- 1	 1- 1	     3116.70	Ej Spelad	1.00	 1
 0- 2	 2- 1	 1- 2	     4227.97	Ej Spelad	1.00	 1
 0- 2	 2- 1	 1- 3	    14029.82	Ej Spelad	1.00	 1
 0- 2	 2- 1	 1- 4	    99124.12	Ej Spelad	1.00	 1
 0- 2	 2- 1	 2- 0	     5038.79	Ej Spelad	1.00	 1
 0- 2	 2- 1	 2- 1	     1959.28	Ej Spelad	1.00	 1
 0- 2	 2- 1	 2- 2	    17154.71	Ej Spelad	1.00	 1
 0- 2	 2- 1	 2- 3	    42105.77	Ej Spelad	1.00	 1
 0- 2	 2- 1	 2- 4	   237982.64	Ej Spelad	1.00	 1
 0- 2	 2- 1	 3- 0	    12510.59	Ej Spelad	1.00	 1
 0- 2	 2- 1	 3- 1	    20646.32	Ej Spelad	1.00	 1
 0- 2	 2- 1	 3- 3	   208478.53	Ej Spelad	1.00	 1
 0- 2	 2- 1	 4- 0	    40405.31	Ej Spelad	1.00	 1
 0- 2	 2- 1	 4- 1	    42856.87	Ej Spelad	1.00	 1
 0- 2	 2- 1	 4- 2	   170270.44	Ej Spelad	1.00	 1
 0- 2	 2- 1	 5- 0	   324219.72	Ej Spelad	1.00	 1
 0- 2	 2- 1	 5- 1	   162357.91	Ej Spelad	1.00	 1
 0- 2	 2- 1	 5- 2	   365112.41	Ej Spelad	1.00	 1
 0- 2	 2- 2	 0- 0	     4339.91	Ej Spelad	1.00	 1
 0- 2	 2- 2	 0- 1	     4199.21	Ej Spelad	1.00	 1
 0- 2	 2- 2	 0- 2	    10459.74	Ej Spelad	1.00	 1
 0- 2	 2- 2	 0- 3	    39691.41	Ej Spelad	1.00	 1
 0- 2	 2- 2	 0- 4	   118996.24	Ej Spelad	1.00	 1
 0- 2	 2- 2	 1- 0	     6231.22	Ej Spelad	1.00	 1
 0- 2	 2- 2	 1- 1	     4230.58	Ej Spelad	1.00	 1
 0- 2	 2- 2	 1- 2	     9355.25	Ej Spelad	1.00	 1
 0- 2	 2- 2	 1- 3	    49587.68	Ej Spelad	1.00	 1
 0- 2	 2- 2	 1- 4	   297606.28	Ej Spelad	1.00	 1
 0- 2	 2- 2	 2- 0	     3917.96	Ej Spelad	1.00	 1
 0- 2	 2- 2	 2- 1	    17149.22	Ej Spelad	1.00	 1
 0- 2	 2- 2	 2- 2	    28062.53	Ej Spelad	1.00	 1
 0- 2	 2- 2	 2- 3	   119056.41	Ej Spelad	1.00	 1
 0- 2	 2- 2	 3- 0	    41265.72	Ej Spelad	1.00	 1
 0- 2	 2- 2	 3- 2	   138951.39	Ej Spelad	1.00	 1
 0- 2	 2- 2	 3- 3	   268006.84	Ej Spelad	1.00	 1
 0- 2	 2- 2	 4- 0	    85539.51	Ej Spelad	1.00	 1
 0- 2	 2- 2	 4- 1	   170608.94	Ej Spelad	1.00	 1
 0- 2	 2- 2	 5- 0	   324921.59	Ej Spelad	1.00	 1
 0- 2	 2- 2	 5- 1	   365936.09	Ej Spelad	1.00	 1
 0- 2	 2- 3	 0- 0	    12587.67	Ej Spelad	1.00	 1
 0- 2	 2- 3	 0- 1	    15702.57	Ej Spelad	1.00	 1
 0- 2	 2- 3	 0- 2	    39678.34	Ej Spelad	1.00	 1
 0- 2	 2- 3	 0- 3	    89313.09	Ej Spelad	1.00	 1
 0- 2	 2- 3	 1- 0	    12688.01	Ej Spelad	1.00	 1
 0- 2	 2- 3	 1- 1	    14030.99	Ej Spelad	1.00	 1
 0- 2	 2- 3	 1- 2	    49578.25	Ej Spelad	1.00	 1
 0- 2	 2- 3	 1- 3	   223224.06	Ej Spelad	1.00	 1
 0- 2	 2- 3	 2- 0	    51401.59	Ej Spelad	1.00	 1
 0- 2	 2- 3	 2- 1	    42065.67	Ej Spelad	1.00	 1
 0- 2	 2- 3	 2- 2	   119000.55	Ej Spelad	1.00	 1
 0- 2	 2- 3	 2- 3	   334973.56	Ej Spelad	1.00	 1
 0- 2	 2- 3	 3- 1	   208238.47	Ej Spelad	1.00	 1
 0- 2	 2- 3	 3- 2	   268061.75	Ej Spelad	1.00	 1
 0- 2	 2- 4	 0- 0	    62700.62	Ej Spelad	1.00	 1
 0- 2	 2- 4	 0- 1	    79362.90	Ej Spelad	1.00	 1
 0- 2	 2- 4	 0- 2	   119059.57	Ej Spelad	1.00	 1
 0- 2	 2- 4	 1- 0	    56100.23	Ej Spelad	1.00	 1
 0- 2	 2- 4	 1- 1	    99205.73	Ej Spelad	1.00	 1
 0- 2	 2- 4	 1- 2	   297454.91	Ej Spelad	1.00	 1
 0- 2	 2- 4	 2- 0	   168256.89	Ej Spelad	1.00	 1
 0- 2	 2- 4	 2- 1	   238108.56	Ej Spelad	1.00	 1
 0- 2	 2- 5	 0- 0	   396750.28	Ej Spelad	1.00	 1
 0- 2	 2- 5	 0- 1	   297519.72	Ej Spelad	1.00	 1
 0- 2	 3- 0	 0- 0	     6337.38	Ej Spelad	1.00	 1
 0- 2	 3- 0	 0- 1	     2614.84	Ej Spelad	1.00	 1
 0- 2	 3- 0	 0- 2	    18714.32	Ej Spelad	1.00	 1
 0- 2	 3- 0	 0- 3	    38000.29	Ej Spelad	1.00	 1
 0- 2	 3- 0	 0- 4	   168035.75	Ej Spelad	1.00	 1
 0- 2	 3- 0	 1- 0	     5577.92	Ej Spelad	1.00	 1
 0- 2	 3- 0	 1- 1	     7552.41	Ej Spelad	1.00	 1
 0- 2	 3- 0	 1- 2	     5881.53	Ej Spelad	1.00	 1
 0- 2	 3- 0	 1- 3	    77137.84	Ej Spelad	1.00	 1
 0- 2	 3- 0	 1- 4	   252327.33	Ej Spelad	1.00	 1
 0- 2	 3- 0	 2- 0	    10573.55	Ej Spelad	1.00	 1
 0- 2	 3- 0	 2- 1	    12507.25	Ej Spelad	1.00	 1
 0- 2	 3- 0	 2- 2	    41277.90	Ej Spelad	1.00	 1
 0- 2	 3- 0	 3- 0	    47323.56	Ej Spelad	1.00	 1
 0- 2	 3- 0	 3- 1	    30273.96	Ej Spelad	1.00	 1
 0- 2	 3- 0	 3- 2	    64230.71	Ej Spelad	1.00	 1
 0- 2	 3- 0	 3- 3	   383275.94	Ej Spelad	1.00	 1
 0- 2	 3- 0	 4- 0	   155697.88	Ej Spelad	1.00	 1
 0- 2	 3- 0	 4- 1	   194826.23	Ej Spelad	1.00	 1
 0- 2	 3- 0	 4- 2	   194800.45	Ej Spelad	1.00	 1
 0- 2	 3- 1	 0- 0	     2613.57	Ej Spelad	1.00	 1
 0- 2	 3- 1	 0- 1	     9357.58	Ej Spelad	1.00	 1
 0- 2	 3- 1	 0- 2	    12674.08	Ej Spelad	1.00	 1
 0- 2	 3- 1	 0- 3	    42064.20	Ej Spelad	1.00	 1
 0- 2	 3- 1	 0- 4	   297809.16	Ej Spelad	1.00	 1
 0- 2	 3- 1	 1- 0	     7556.78	Ej Spelad	1.00	 1
 0- 2	 3- 1	 1- 1	     2938.55	Ej Spelad	1.00	 1
 0- 2	 3- 1	 1- 2	    25708.13	Ej Spelad	1.00	 1
 0- 2	 3- 1	 1- 3	    63136.54	Ej Spelad	1.00	 1
 0- 2	 3- 1	 1- 4	   357169.38	Ej Spelad	1.00	 1
 0- 2	 3- 1	 2- 0	    12497.21	Ej Spelad	1.00	 1
 0- 2	 3- 1	 2- 1	    20623.62	Ej Spelad	1.00	 1
 0- 2	 3- 1	 2- 3	   208393.14	Ej Spelad	1.00	 1
 0- 2	 3- 1	 3- 0	    30275.85	Ej Spelad	1.00	 1
 0- 2	 3- 1	 3- 1	    32147.18	Ej Spelad	1.00	 1
 0- 2	 3- 1	 3- 2	   127801.06	Ej Spelad	1.00	 1
 0- 2	 3- 1	 4- 0	   194672.80	Ej Spelad	1.00	 1
 0- 2	 3- 1	 4- 1	    97309.23	Ej Spelad	1.00	 1
 0- 2	 3- 1	 4- 2	   218994.75	Ej Spelad	1.00	 1
 0- 2	 3- 2	 0- 0	    18705.83	Ej Spelad	1.00	 1
 0- 2	 3- 2	 0- 1	    12686.59	Ej Spelad	1.00	 1
 0- 2	 3- 2	 0- 2	    28028.71	Ej Spelad	1.00	 1
 0- 2	 3- 2	 0- 3	   148824.30	Ej Spelad	1.00	 1
 0- 2	 3- 2	 1- 0	     5874.33	Ej Spelad	1.00	 1
 0- 2	 3- 2	 1- 1	    25724.11	Ej Spelad	1.00	 1
 0- 2	 3- 2	 1- 2	    42103.83	Ej Spelad	1.00	 1
 0- 2	 3- 2	 1- 3	   178664.83	Ej Spelad	1.00	 1
 0- 2	 3- 2	 2- 0	    41296.79	Ej Spelad	1.00	 1
 0- 2	 3- 2	 2- 2	   138906.05	Ej Spelad	1.00	 1
 0- 2	 3- 2	 2- 3	   267957.44	Ej Spelad	1.00	 1
 0- 2	 3- 2	 3- 0	    64297.56	Ej Spelad	1.00	 1
 0- 2	 3- 2	 3- 1	   127735.17	Ej Spelad	1.00	 1
 0- 2	 3- 2	 4- 0	   194476.34	Ej Spelad	1.00	 1
 0- 2	 3- 2	 4- 1	   218952.97	Ej Spelad	1.00	 1
 0- 2	 3- 3	 0- 0	    38078.48	Ej Spelad	1.00	 1
 0- 2	 3- 3	 0- 1	    42143.46	Ej Spelad	1.00	 1
 0- 2	 3- 3	 0- 2	   148793.34	Ej Spelad	1.00	 1
 0- 2	 3- 3	 1- 0	    77134.20	Ej Spelad	1.00	 1
 0- 2	 3- 3	 1- 1	    63112.16	Ej Spelad	1.00	 1
 0- 2	 3- 3	 1- 2	   178604.22	Ej Spelad	1.00	 1
 0- 2	 3- 3	 2- 1	   208382.56	Ej Spelad	1.00	 1
 0- 2	 3- 3	 2- 2	   267787.31	Ej Spelad	1.00	 1
 0- 2	 3- 3	 3- 0	   383270.47	Ej Spelad	1.00	 1
 0- 2	 3- 4	 0- 0	   167911.30	Ej Spelad	1.00	 1
 0- 2	 3- 4	 0- 1	   297550.28	Ej Spelad	1.00	 1
 0- 2	 3- 4	 1- 0	   252570.72	Ej Spelad	1.00	 1
 0- 2	 3- 4	 1- 1	   357453.13	Ej Spelad	1.00	 1
 0- 2	 4- 0	 0- 0	    22325.48	Ej Spelad	1.00	 1
 0- 2	 4- 0	 0- 1	    30223.56	Ej Spelad	1.00	 1
 0- 2	 4- 0	 0- 2	    23451.11	Ej Spelad	1.00	 1
 0- 2	 4- 0	 0- 3	   308485.94	Ej Spelad	1.00	 1
 0- 2	 4- 0	 1- 0	    21152.14	Ej Spelad	1.00	 1
 0- 2	 4- 0	 1- 1	    25031.01	Ej Spelad	1.00	 1
 0- 2	 4- 0	 1- 2	    82626.57	Ej Spelad	1.00	 1
 0- 2	 4- 0	 2- 0	    63048.92	Ej Spelad	1.00	 1
 0- 2	 4- 0	 2- 1	    40399.18	Ej Spelad	1.00	 1
 0- 2	 4- 0	 2- 2	    85673.23	Ej Spelad	1.00	 1
 0- 2	 4- 0	 3- 0	   155662.69	Ej Spelad	1.00	 1
 0- 2	 4- 0	 3- 1	   194813.83	Ej Spelad	1.00	 1
 0- 2	 4- 0	 3- 2	   194552.59	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 0	    30227.90	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 1	    11765.53	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 2	   102699.02	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 3	   252381.69	Ej Spelad	1.00	 1
 0- 2	 4- 1	 1- 0	    25010.52	Ej Spelad	1.00	 1
 0- 2	 4- 1	 1- 1	    41281.22	Ej Spelad	1.00	 1
 0- 2	 4- 1	 2- 0	    40382.79	Ej Spelad	1.00	 1
 0- 2	 4- 1	 2- 1	    42814.27	Ej Spelad	1.00	 1
 0- 2	 4- 1	 2- 2	   170225.63	Ej Spelad	1.00	 1
 0- 2	 4- 1	 3- 0	   194620.48	Ej Spelad	1.00	 1
 0- 2	 4- 1	 3- 1	    97355.88	Ej Spelad	1.00	 1
 0- 2	 4- 1	 3- 2	   218963.27	Ej Spelad	1.00	 1
 0- 2	 4- 2	 0- 0	    23513.71	Ej Spelad	1.00	 1
 0- 2	 4- 2	 0- 1	   102966.25	Ej Spelad	1.00	 1
 0- 2	 4- 2	 0- 2	   168396.13	Ej Spelad	1.00	 1
 0- 2	 4- 2	 1- 0	    82535.31	Ej Spelad	1.00	 1
 0- 2	 4- 2	 1- 2	   278075.84	Ej Spelad	1.00	 1
 0- 2	 4- 2	 2- 0	    85778.16	Ej Spelad	1.00	 1
 0- 2	 4- 2	 2- 1	   170298.33	Ej Spelad	1.00	 1
 0- 2	 4- 2	 3- 0	   194961.25	Ej Spelad	1.00	 1
 0- 2	 4- 2	 3- 1	   218947.42	Ej Spelad	1.00	 1
 0- 2	 4- 3	 0- 0	   307735.28	Ej Spelad	1.00	 1
 0- 2	 4- 3	 0- 1	   252249.20	Ej Spelad	1.00	 1
 0- 2	 5- 0	 0- 0	   105817.76	Ej Spelad	1.00	 1
 0- 2	 5- 0	 0- 1	   125364.03	Ej Spelad	1.00	 1
 0- 2	 5- 0	 1- 0	   157519.86	Ej Spelad	1.00	 1
 0- 2	 5- 0	 1- 1	   100992.30	Ej Spelad	1.00	 1
 0- 2	 5- 0	 1- 2	   214255.23	Ej Spelad	1.00	 1
 0- 2	 5- 0	 2- 0	   259377.94	Ej Spelad	1.00	 1
 0- 2	 5- 0	 2- 1	   324330.00	Ej Spelad	1.00	 1
 0- 2	 5- 0	 2- 2	   325290.38	Ej Spelad	1.00	 1
 0- 2	 5- 1	 0- 0	   125253.95	Ej Spelad	1.00	 1
 0- 2	 5- 1	 0- 1	   206490.89	Ej Spelad	1.00	 1
 0- 2	 5- 1	 1- 0	   100923.51	Ej Spelad	1.00	 1
 0- 2	 5- 1	 1- 1	   107003.25	Ej Spelad	1.00	 1
 0- 2	 5- 1	 2- 0	   324318.13	Ej Spelad	1.00	 1
 0- 2	 5- 1	 2- 1	   161985.53	Ej Spelad	1.00	 1
 0- 2	 5- 1	 2- 2	   363966.38	Ej Spelad	1.00	 1
 0- 2	 5- 2	 1- 0	   214144.22	Ej Spelad	1.00	 1
 0- 2	 5- 2	 2- 0	   323788.06	Ej Spelad	1.00	 1
 0- 2	 5- 2	 2- 1	   365949.06	Ej Spelad	1.00	 1
 0- 3	 0- 0	 0- 0	     2078.03	17.743	26.14	26
 0- 3	 0- 0	 0- 1	     2721.73	13.547	21.81	22
 0- 3	 0- 0	 0- 2	     4473.37	 8.242	15.22	15
 0- 3	 0- 0	 0- 3	    22045.74	 1.672	2.39	 2
 0- 3	 0- 0	 1- 0	     2658.03	13.871	22.17	22
 0- 3	 0- 0	 1- 1	     2497.12	14.765	23.13	23
 0- 3	 0- 0	 1- 2	     9353.73	 1.971	6.57	 7
 0- 3	 0- 0	 2- 0	     7246.64	10.176	8.91	 9
